date,close,open,high,low,volume,percent,code
2015-01-01,75.98,74.12,76.02,73.56,14M,3.13%,BMW.DE
2015-01-02,77.63,76.23,77.75,75.78,18M,2.18%,BMW.DE
2015-01-03,77.62,76.39,78.5,76.32,12M,-0.02%,BMW.DE
2015-01-04,77.12,77.44,77.87,76.65,11M,-0.64%,BMW.DE
2015-01-05,78.41,79.45,79.89,77.79,18M,1.67%,BMW.DE
2015-01-06,79.07,79.04,79.21,77.89,12M,0.84%,BMW.DE
2015-01-07,78.61,79.54,79.8,78.34,95M,-0.58%,BMW.DE
2015-01-08,79.88,78.55,80.1,78.46,13M,1.61%,BMW.DE
2015-01-09,80.12,79.72,81.0,79.63,12M,0.3%,BMW.DE
2015-01-10,79.88,80.57,80.71,79.5,66M,-0.3%,BMW.DE
2015-01-11,79.81,79.35,80.4,78.52,93M,-0.08%,BMW.DE
2015-01-12,78.94,79.37,80.14,78.68,11M,-1.09%,BMW.DE
2015-01-13,78.11,77.96,79.08,77.28,11M,-1.05%,BMW.DE
2015-01-14,77.08,76.79,77.08,75.8,15M,-1.31%,BMW.DE
2015-01-15,73.79,76.63,77.76,73.24,21M,-4.27%,BMW.DE
2015-01-16,74.28,74.74,75.18,73.36,13M,0.66%,BMW.DE
2015-01-17,75.96,74.89,76.56,74.77,12M,2.27%,BMW.DE
2015-01-18,75.83,75.03,76.76,74.95,12M,-0.18%,BMW.DE
2015-01-19,74.54,75.83,75.85,72.75,18M,-1.7%,BMW.DE
2015-01-20,74.98,75.33,75.59,74.33,13M,0.6%,BMW.DE
2015-01-21,76.06,75.19,76.14,75.04,10M,1.44%,BMW.DE
2015-01-22,75.57,76.23,76.49,75.35,89M,-0.65%,BMW.DE
2015-01-23,75.63,75.32,76.37,75.21,11M,0.09%,BMW.DE
2015-01-24,72.33,76.12,76.12,71.84,18M,-4.37%,BMW.DE
2015-01-25,72.49,72.83,73.33,72.45,11M,0.22%,BMW.DE
2015-01-26,72.53,72.41,74.11,72.13,12M,0.06%,BMW.DE
2015-01-27,75.29,73.08,75.79,72.76,15M,3.8%,BMW.DE
2015-01-28,74.83,75.11,75.54,74.57,12M,-0.6%,BMW.DE
2015-01-29,76.87,73.88,77.22,73.38,27M,2.73%,BMW.DE
2015-01-30,74.69,74.55,75.11,73.24,21M,-2.84%,BMW.DE
2015-01-31,76.58,74.56,76.62,74.16,14M,2.53%,BMW.DE
2015-02-01,75.87,76.57,77.46,75.29,14M,-0.93%,BMW.DE
2015-02-02,77.42,76.41,78.43,76.29,16M,2.04%,BMW.DE
2015-02-03,76.94,77.73,78.73,76.59,15M,-0.61%,BMW.DE
2015-02-04,74.45,77.93,78.19,73.8,16M,-3.24%,BMW.DE
2015-02-05,73.35,72.3,74.46,72.15,20M,-1.47%,BMW.DE
2015-02-06,73.91,73.41,75.68,73.37,14M,0.76%,BMW.DE
2015-02-07,68.56,70.38,71.69,67.88,42M,-7.24%,BMW.DE
2015-02-08,71.0,69.68,71.1,67.86,26M,3.57%,BMW.DE
2015-02-09,69.82,68.6,69.82,67.13,26M,-1.66%,BMW.DE
2015-02-10,66.54,69.5,70.58,66.2,23M,-4.7%,BMW.DE
2015-02-11,64.98,64.8,66.2,63.98,26M,-2.34%,BMW.DE
2015-02-12,62.52,65.02,65.35,62.02,24M,-3.79%,BMW.DE
2015-02-13,58.97,60.98,61.69,58.47,38M,-5.69%,BMW.DE
2015-02-14,56.89,56.19,58.78,54.51,40M,-3.53%,BMW.DE
2015-02-15,57.31,55.9,59.05,55.5,34M,0.75%,BMW.DE
2015-02-16,61.47,59.7,61.51,58.44,35M,7.25%,BMW.DE
2015-02-17,58.08,61.52,61.9,56.64,43M,-5.51%,BMW.DE
2015-02-18,58.42,58.82,60.87,58.08,28M,0.58%,BMW.DE
2015-02-19,60.04,60.21,61.6,59.68,25M,2.78%,BMW.DE
2015-02-20,60.76,59.39,61.13,57.84,26M,1.2%,BMW.DE
2015-02-21,63.24,62.55,63.95,61.45,31M,4.09%,BMW.DE
2015-02-22,61.85,64.0,64.05,60.91,22M,-2.21%,BMW.DE
2015-02-23,61.23,61.47,61.84,60.3,47M,-1.0%,BMW.DE
2015-02-24,62.47,61.5,62.9,61.1,16M,2.03%,BMW.DE
2015-02-25,63.77,63.2,64.34,62.4,17M,2.09%,BMW.DE
2015-02-26,63.13,64.81,65.18,62.8,19M,-1.01%,BMW.DE
2015-02-27,63.3,63.17,63.73,62.37,15M,0.27%,BMW.DE
2015-02-28,62.83,62.92,63.29,62.27,15M,-0.74%,BMW.DE
2015-03-01,63.11,63.0,64.49,62.95,11M,0.45%,BMW.DE
2015-03-02,66.65,64.4,67.33,63.87,19M,5.61%,BMW.DE
2015-03-03,64.74,65.9,66.28,64.63,14M,-2.87%,BMW.DE
2015-03-04,63.4,65.58,65.91,63.25,14M,-2.07%,BMW.DE
2015-03-05,63.73,63.33,64.64,63.19,10M,0.51%,BMW.DE
2015-03-06,64.41,64.21,64.67,62.9,11M,1.08%,BMW.DE
2015-03-07,63.06,64.32,65.03,62.75,15M,-2.09%,BMW.DE
2015-03-08,61.55,62.82,62.97,60.38,16M,-2.4%,BMW.DE
2015-03-09,61.04,61.74,62.85,61.04,13M,-0.83%,BMW.DE
2015-03-10,62.11,62.27,62.7,61.52,11M,1.76%,BMW.DE
2015-03-11,61.3,61.39,62.06,60.59,12M,-1.31%,BMW.DE
2015-03-12,61.38,60.38,62.09,59.92,13M,0.13%,BMW.DE
2015-03-13,61.51,61.31,61.55,60.53,10M,0.21%,BMW.DE
2015-03-14,61.5,61.6,62.24,61.16,14M,-0.01%,BMW.DE
2015-03-15,62.94,61.68,63.12,61.22,14M,2.33%,BMW.DE
2015-03-16,63.89,63.36,64.69,62.99,11M,1.51%,BMW.DE
2015-03-17,63.89,63.89,63.89,63.89,,0.0%,BMW.DE
2015-03-18,63.89,63.89,63.89,63.89,,0.0%,BMW.DE
2015-03-19,62.49,61.87,63.17,61.71,15M,-2.18%,BMW.DE
2015-03-20,61.52,63.37,63.73,61.46,17M,-1.55%,BMW.DE
2015-03-21,61.52,61.52,61.52,61.52,,0.0%,BMW.DE
2015-03-22,62.76,62.52,63.79,61.87,11M,2.01%,BMW.DE
2015-03-23,63.33,63.39,63.7,62.73,13M,0.91%,BMW.DE
2015-03-24,62.63,62.71,63.28,59.98,18M,-1.11%,BMW.DE
2015-03-25,64.52,63.09,64.52,62.81,17M,3.01%,BMW.DE
2015-03-26,64.11,64.75,65.1,64.11,16M,-0.64%,BMW.DE
2015-03-27,62.94,65.86,66.95,62.73,19M,-1.81%,BMW.DE
2015-03-28,62.94,62.94,62.94,62.94,,0.0%,BMW.DE
2015-03-29,62.61,63.89,64.43,62.61,18M,-0.53%,BMW.DE
2015-03-30,63.09,63.72,64.31,63.0,19M,0.76%,BMW.DE
2015-03-31,66.36,63.74,66.73,63.4,37M,5.18%,BMW.DE
2015-04-01,65.77,65.61,66.06,64.45,28M,-0.89%,BMW.DE
2015-04-02,65.77,65.77,65.77,65.77,,0.0%,BMW.DE
2015-04-03,67.4,67.2,67.99,66.51,11M,2.48%,BMW.DE
2015-04-04,68.23,68.26,68.99,67.74,14M,1.24%,BMW.DE
2015-04-05,67.71,68.53,69.09,67.71,12M,-0.76%,BMW.DE
2015-04-06,67.55,66.48,67.55,65.59,16M,-0.23%,BMW.DE
2015-04-07,67.21,68.22,68.72,67.03,15M,-0.5%,BMW.DE
2015-04-08,67.9,68.26,68.41,66.88,10M,1.02%,BMW.DE
2015-04-09,67.51,67.12,68.16,67.08,10M,-0.58%,BMW.DE
2015-04-10,67.51,67.51,67.51,67.51,,0.0%,BMW.DE
2015-04-11,69.64,68.73,69.8,68.19,10M,3.16%,BMW.DE
2015-04-12,69.64,69.64,69.64,69.64,,0.0%,BMW.DE
2015-04-13,69.64,69.64,69.64,69.64,,0.0%,BMW.DE
2015-04-14,69.97,70.57,70.85,69.58,18M,0.47%,BMW.DE
2015-04-15,71.45,70.76,72.19,70.51,16M,2.11%,BMW.DE
2015-04-16,71.45,71.45,71.45,71.45,,0.0%,BMW.DE
2015-04-17,71.45,71.45,71.45,71.45,,0.0%,BMW.DE
2015-04-18,72.53,72.56,72.94,71.74,73M,1.52%,BMW.DE
2015-04-19,71.68,71.95,72.34,71.02,94M,-1.18%,BMW.DE
2015-04-20,72.47,71.75,72.9,71.7,12M,1.1%,BMW.DE
2015-04-21,71.74,72.39,72.43,70.99,11M,-1.01%,BMW.DE
2015-04-22,69.9,71.13,71.39,69.59,17M,-2.56%,BMW.DE
2015-04-23,67.67,68.37,69.09,67.14,19M,-3.19%,BMW.DE
2015-04-24,67.35,68.39,68.39,66.76,12M,-0.46%,BMW.DE
2015-04-25,69.03,68.46,69.33,68.13,16M,2.49%,BMW.DE
2015-04-26,66.95,68.95,68.96,66.43,15M,-3.0%,BMW.DE
2015-04-27,67.35,67.41,67.84,66.26,34M,0.58%,BMW.DE
2015-04-28,68.32,67.69,68.39,67.01,82M,1.44%,BMW.DE
2015-04-29,69.13,68.67,69.89,68.49,96M,1.19%,BMW.DE
2015-04-30,67.83,67.8,68.42,66.83,13M,-1.88%,BMW.DE
2015-05-01,65.0,67.74,68.08,65.0,18M,-4.17%,BMW.DE
2015-05-02,65.04,65.32,65.38,62.98,17M,0.05%,BMW.DE
2015-05-03,65.72,65.62,67.08,65.27,11M,1.05%,BMW.DE
2015-05-04,66.37,66.5,67.47,66.25,10M,0.99%,BMW.DE
2015-05-05,64.67,65.09,65.64,64.16,14M,-2.56%,BMW.DE
