Wealth,Return,Weight1,Weight2,Weight3,Weight4,Weight5,Weight6,Price1,Price2,Price3,Price4,Price5,Price6
10027.902075569806,0.0027863221535849,0.16,0.17,0.28,0.16,0.11,0.13,1.0,0.992,1.02,1.006,0.988,1.007
10071.06531099526,0.00429507655298,0.07,0.11,0.61,0.14,0.02,0.06,1.0,1.026,0.997,1.033,1.007,1.007
10141.164816969407,0.0069363733333583,0.3,0.22,0.12,0.15,0.04,0.18,1.0,1.008,1.001,1.032,1.052,1.002
10211.303191469877,0.0068923977310574,0.4,0.07,0.15,0.04,0.12,0.22,1.0,1.026,1.027,1.007,1.012,1.001
10270.887081901015,0.0058181334823449,0.15,0.21,0.06,0.09,0.3,0.19,1.0,1.005,1.008,0.991,1.019,1.003
10282.884136091036,0.0011673824161248,0.09,0.11,0.29,0.22,0.19,0.1,1.0,1.001,0.982,1.009,1.034,0.993
10048.983964541,-0.0230092473247867,0.02,0.38,0.12,0.23,0.19,0.06,1.0,0.965,0.982,0.99,0.987,0.978
10156.518677704356,0.0106442022615101,0.06,0.44,0.15,0.21,0.02,0.12,1.0,1.057,0.983,0.956,1.017,0.982
10135.509119371043,-0.0020707211768707,0.09,0.02,0.5,0.13,0.14,0.12,1.0,1.031,1.02,0.912,1.005,1.007
9981.326018519294,-0.015329063338989,0.05,0.15,0.65,0.03,0.04,0.09,1.0,0.985,0.979,0.992,0.988,1.028
10042.282293384924,0.0060884594041927,0.03,0.19,0.08,0.43,0.09,0.19,1.0,1.013,1.014,1.012,1.002,1.002
10102.71172789476,0.0059994672326041,0.14,0.12,0.43,0.04,0.11,0.16,1.0,1.0,1.011,1.005,1.003,1.017
10253.277158964633,0.0147935015886271,0.13,0.31,0.38,0.04,0.1,0.03,1.0,1.008,1.005,0.993,1.109,1.02
10315.173049752557,0.0060185455877389,0.33,0.05,0.15,0.12,0.15,0.19,1.0,1.003,1.011,0.967,1.034,1.026
10262.557007104986,-0.0051138932398872,0.6,0.02,0.13,0.11,0.1,0.04,1.0,0.992,0.992,0.985,0.991,0.984
10133.821080477826,-0.0126235781300315,0.12,0.06,0.07,0.08,0.25,0.43,1.0,1.007,0.997,1.004,0.967,0.993
10160.209998786137,0.002600659580991,0.33,0.11,0.06,0.06,0.09,0.36,1.0,1.019,1.006,1.015,1.014,0.997
10181.35385739429,0.0020788830566347,0.14,0.18,0.23,0.16,0.17,0.12,1.0,1.023,1.003,0.986,1.002,1.005
10361.536667875484,0.017542558681751,0.07,0.07,0.74,0.03,0.06,0.04,1.0,1.013,1.022,1.013,1.039,1.018
10446.558836389066,0.0081720733801629,0.13,0.14,0.05,0.34,0.32,0.03,1.0,1.005,1.026,1.022,1.007,0.995
10344.02756377602,-0.0098633200496125,0.05,0.21,0.21,0.19,0.28,0.05,1.0,1.006,1.008,0.975,0.974,1.005
10449.440986886875,0.0101391767246183,0.19,0.26,0.12,0.09,0.18,0.16,1.0,1.007,1.008,0.999,1.053,0.994
10401.872578857978,-0.0045626373034766,0.35,0.12,0.17,0.17,0.15,0.04,1.0,0.998,1.0,1.002,0.977,1.0
