date,close,open,high,low,volume,percent,code
2020-01-02,1189.74,1194.86,1197.58,1179.61,21M,0.0%,AZO
2020-01-03,1187.98,1175.74,1190.31,1175.74,18M,2.86%,AZO
2020-01-06,1165.71,1167.01,1177.74,1147.14,29M,1.45%,AZO
2020-01-07,1145.38,1160.67,1168.13,1141.39,27M,-1.43%,AZO
2020-01-08,1147.49,1141.63,1157.42,1137.35,20M,0.0%,AZO
2020-01-09,1145.39,1152.07,1154.11,1144.15,20M,0.0%,AZO
2020-01-10,1132.22,1151.0,1151.0,1130.54,20M,-1.41%,AZO
2020-01-13,1128.37,1128.98,1134.04,1118.79,21M,-1.39%,AZO
2020-01-14,1136.6,1125.43,1136.96,1115.47,33M,0.0%,AZO
2020-01-15,1134.29,1129.83,1148.69,1129.83,18M,0.0%,AZO
2020-01-16,1142.12,1143.94,1147.08,1136.35,19M,-1.37%,AZO
2020-01-17,1154.58,1144.53,1155.47,1140.0,30M,2.82%,AZO
2020-01-21,1155.0,1152.1,1165.01,1149.36,30M,0.0%,AZO
2020-01-22,1157.33,1155.77,1162.89,1146.09,22M,-4.05%,AZO
2020-01-23,1166.0,1151.56,1168.3,1149.0,25M,4.23%,AZO
2020-01-24,1140.23,1166.35,1167.16,1136.78,25M,-1.39%,AZO
2020-01-27,1114.49,1123.22,1127.66,1112.69,21M,1.87%,AZO
2020-01-28,1107.58,1116.63,1119.0,1104.13,20M,0.09%,AZO
2020-01-29,1096.51,1108.2,1118.23,1096.08,18M,0.15%,AZO
2020-01-30,1086.58,1089.75,1092.62,1079.91,32M,1.15%,AZO
2020-01-31,1057.96,1080.92,1094.53,1056.11,31M,0.15%,AZO
2020-02-03,1050.45,1062.13,1069.32,1050.17,26M,-0.01%,AZO
2020-02-04,1050.21,1058.16,1063.96,1042.92,28M,0.27%,AZO
2020-02-05,1073.25,1056.34,1077.02,1050.73,30M,1.09%,AZO
2020-02-06,1062.31,1075.26,1081.84,1061.69,27M,-0.82%,AZO
2020-02-07,1058.91,1057.06,1066.79,1047.87,21M,0.3%,AZO
2020-02-10,1053.72,1061.24,1066.65,1052.29,19M,-3.11%,AZO
2020-02-11,1051.22,1052.37,1056.2,1048.51,16M,0.25%,AZO
2020-02-12,1063.57,1054.64,1066.4,1048.09,19M,-1.37%,AZO
2020-02-13,1066.55,1057.69,1071.85,1057.69,24M,-1.64%,AZO
2020-02-14,1053.21,1068.24,1073.58,1047.42,19M,-1.44%,AZO
2020-02-18,1073.85,1075.0,1079.32,1066.36,24M,-0.91%,AZO
2020-02-19,1066.79,1074.91,1077.0,1066.06,16M,-0.38%,AZO
2020-02-20,1082.52,1065.49,1085.85,1065.49,21M,0.54%,AZO
2020-02-21,1068.03,1077.17,1082.41,1062.65,21M,-0.34%,AZO
2020-02-24,1056.64,1051.9,1062.99,1043.0,33M,1.5%,AZO
2020-02-25,1032.69,1059.73,1063.34,1031.38,30M,-2.23%,AZO
2020-02-26,1014.06,1039.54,1045.27,1010.77,29M,percent,AZO
2020-02-27,1004.98,998.9,1033.5,994.5458,32M,1.69%,AZO
2020-02-28,1032.51,983.09,1037.05,977.06,59M,1.98%,AZO
2020-03-02,1046.89,1042.0,1051.29,1013.34,48M,-0.74%,AZO
2020-03-03,1024.71,1003.99,1082.3,997.89,82M,-2.63%,AZO
2020-03-04,1058.24,1040.0,1063.25,1008.67,50M,2.44%,AZO
2020-03-05,1029.87,1037.72,1043.25,1006.62,34M,-0.24%,AZO
2020-03-06,1060.31,1008.5,1066.71,1002.03,37M,3.02%,AZO
2020-03-09,1113.69,1013.58,1126.0,1011.77,57M,-0.3%,AZO
2020-03-10,1148.3,1137.58,1166.2,1112.4,61M,-0.2%,AZO
2020-03-11,1089.03,1133.47,1133.47,1073.13,42M,-2.68%,AZO
2020-03-12,978.19,1040.13,1045.8,976.9,42M,-3.52%,AZO
2020-03-13,1012.73,1020.66,1020.66,939.635,44M,-1.62%,AZO
2020-03-16,851.33,910.0,945.15,840.91,43M,0.93%,AZO
