date,close,open,high,low,volume,percent,code
2020-01-02,37.38,37.0,37.38,36.55,74M,0.6753%,GM
2020-01-03,36.32,36.73,36.92,36.11,91M,-3.29782073478401%,GM
2020-01-06,35.84,35.95,36.18,35.8,83M,-1.15398013243164%,GM
2020-01-07,35.15,35.75,35.84,34.74,17M,1.62051982866949%,GM
2020-01-08,34.65,35.04,35.2,34.41,13M,0.737304291349039%,GM
2020-01-09,35.08,34.99,35.1,34.53,96M,0.817037758545647%,GM
2020-01-10,34.65,35.15,36.45,34.51,96M,-0.62469386793711%,GM
2020-01-13,34.98,34.69,35.0,34.49,74M,2.03874129624453%,GM
2020-01-14,35.15,35.0,35.35,34.96,68M,0.432891043580019%,GM
2020-01-15,35.15,35.0,35.32,34.89,71M,-3.1995984009044%,GM
2020-01-16,35.55,35.21,35.58,35.15,72M,0.616538340523753%,GM
2020-01-17,35.6,35.57,35.73,35.41,98M,-0.289357108657651%,GM
2020-01-21,34.99,35.36,35.55,34.96,11M,-0.580407974182351%,GM
2020-01-22,34.91,35.13,35.35,34.86,73M,0.188872326794942%,GM
2020-01-23,34.88,34.77,34.99,34.01,85M,-1.49101917325061%,GM
2020-01-24,34.31,34.9,34.99,34.01,93M,0.434958889560488%,GM
2020-01-27,33.41,33.63,33.76,33.17,10M,-4.27854733579454%,GM
2020-01-28,33.64,33.57,33.86,33.34,88M,3.31161724115721%,GM
2020-01-29,33.6,33.8,34.04,33.59,69M,0.175151457873124%,GM
2020-01-30,33.33,33.4,33.45,32.97,11M,-2.43047044501619%,GM
2020-01-31,33.39,33.25,33.49,33.14,18M,-3.3333456334832%,GM
2020-02-03,33.72,33.56,34.34,33.52,17M,1.53874894372126%,GM
2020-02-04,34.37,34.35,34.82,34.2,14M,5.02098534769757%,GM
2020-02-05,35.03,34.9,35.45,34.19,19M,0.695404917080911%,GM
2020-02-06,34.33,35.05,35.1,34.25,11M,0.172663304814402%,GM
2020-02-07,33.63,34.08,34.16,33.42,14M,-3.13684701800616%,GM
2020-02-10,34.25,33.99,34.3,33.67,12M,1.45905996780806%,GM
2020-02-11,35.01,34.34,35.26,34.07,12M,2.87619195572122%,GM
2020-02-12,35.49,35.33,35.79,35.13,12M,1.65360335110489%,GM
2020-02-13,35.29,35.21,35.53,35.16,75M,-0.503100297799686%,GM
2020-02-14,34.76,35.3,35.39,34.42,89M,-1.92145785765994%,GM
2020-02-18,34.41,34.25,34.74,33.96,10M,-3.4541984071322%,GM
2020-02-19,34.92,34.53,35.1,34.52,90M,2.59879276556914%,GM
2020-02-20,35.29,34.66,35.4,34.59,78M,-2.01251118788777%,GM
2020-02-21,34.65,34.99,35.08,34.41,84M,-1.57577791186381%,GM
2020-02-24,33.09,33.64,33.75,32.79,14M,-2.64435849349984%,GM
2020-02-25,31.75,33.25,33.28,31.4,14M,-0.480395826718971%,GM
2020-02-26,32.0,32.1,32.61,31.89,14M,2.17229837797353%,GM
2020-02-27,30.71,31.3,31.92,30.55,14M,-3.16190849994616%,GM
2020-02-28,30.5,29.78,30.5,29.33,20M,1.03206560973312%,GM
2020-03-02,31.42,30.52,31.45,29.74,14M,3.97474723587161%,GM
2020-03-03,30.52,31.5,32.3,30.26,15M,-1.96496660662475%,GM
2020-03-04,31.53,31.0,31.57,30.36,16M,4.0087488280085%,GM
2020-03-05,30.1,30.54,30.77,30.01,17M,-2.36512041487741%,GM
2020-03-06,28.69,29.21,29.54,28.45,19M,-1.1842732386535%,GM
2020-03-09,24.69,26.0,26.12,24.15,28M,-5.88343647648358%,GM
2020-03-10,27.12,25.98,27.14,24.59,18M,5.17076488887411%,GM
2020-03-11,26.0,26.0,26.62,25.76,21M,-4.16437486851471%,GM
2020-03-12,23.04,23.6,24.35,22.5,20M,-6.79556694250003%,GM
2020-03-13,24.71,24.6,25.33,22.9,17M,7.27049372955193%,GM
2020-03-16,21.0,21.51,22.41,21.0,17M,-14.0340874029247%,GM
2020-03-17,20.32,21.31,21.58,19.5,23M,8.10693597258525%,GM
