,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1
56,1.0,1.0,1.0,1.0,1.07433949,1.09212571,1.07373511,1.08867208,0.71821272,0.7246236,0.70849927,0.71015056,0.94795581,0.96173557,0.94750028,0.9525111,0.95540492,0.95718873,0.94862647,0.95255084,0.83837478,0.84850038,0.83811843,0.83914381
227,1.0,1.0,1.0,1.0,1.00397168,1.01977206,1.00224486,1.01061993,0.89383196,0.90189412,0.89052938,0.89868868,0.96799909,0.97733743,0.95945792,0.95968569,0.90617196,0.91687478,0.90367463,0.91651802,1.01307357,1.02730069,1.01217637,1.02319918
280,1.0,1.0,1.0,1.0,0.82921775,0.83543429,0.82714557,0.82887239,0.78552695,0.7862069,0.77231666,0.78018456,0.76619975,0.77155222,0.75264776,0.7607334,0.78380307,0.79058152,0.77880842,0.78630039,0.9168162,0.91925147,0.90105101,0.91040759
485,1.0,1.0,1.0,1.0,0.96805388,0.97073044,0.95493006,0.95717493,1.0053424,1.01087907,0.99601748,1.00398252,1.05124701,1.06001594,1.03667008,1.04543902,1.04031395,1.04174099,1.02533,1.02533,1.01614971,1.02371187,1.01217637,1.0212766
220,1.0,1.0,1.0,1.0,1.03004662,1.03539976,1.02616128,1.02918322,0.89179213,0.89849441,0.88606119,0.89684313,0.91048855,0.91994078,0.89283681,0.89329234,0.95932929,0.96361042,0.95683197,0.96004281,1.02781338,1.03819533,1.02512176,1.03294027
447,1.0,1.0,1.0,1.0,1.0156277,1.02029011,1.01131065,1.01778622,1.04749879,1.05973774,1.04730452,1.05089849,1.15989067,1.19234711,1.15055233,1.18745018,1.17338566,1.18515876,1.17231538,1.184802,1.05678031,1.06626506,1.05152525,1.05152525
421,1.0,1.0,1.0,1.0,0.9110689,0.92617855,0.90865136,0.92600587,0.98960661,1.00019427,0.98708111,0.99825158,1.16809019,1.18186995,1.15738526,1.16080173,1.18159115,1.19300749,1.17909383,1.19051017,1.06344527,1.07190464,1.05857472,1.06408613
375,1.0,1.0,1.0,1.0,0.82015196,0.82369194,0.81557589,0.82360559,0.92015542,0.92870325,0.91452161,0.91840699,0.89932809,0.90593327,0.89249516,0.90012527,1.04138423,1.04851944,1.03567606,1.04851944,0.95706229,0.96090746,0.94629582,0.95167906
25,1.0,1.0,1.0,1.0,1.09721982,1.09894664,1.08487308,1.09894664,0.7431763,0.74424478,0.72627489,0.72831472,1.0141214,1.01696845,0.99817788,1.00444141,0.97395648,0.97966465,0.97038887,0.97074563,0.86400923,0.87400666,0.86118944,0.87400666
229,1.0,1.0,1.0,1.0,1.02771542,1.02961492,0.9938698,0.99542393,0.89927149,0.90160272,0.87547353,0.87547353,0.96629086,0.96799909,0.93861747,0.94043959,0.9058152,0.90652872,0.89439886,0.8958259,1.030505,1.030505,1.00551141,1.00717765
180,1.0,1.0,1.0,1.0,0.99041616,1.00751166,0.98445864,1.00535313,0.80747936,0.82292375,0.80213696,0.82282661,0.67463842,0.69285958,0.67099419,0.69046806,0.90403139,0.92151267,0.8976097,0.91794506,0.90604973,0.915919,0.89989746,0.91245834
496,1.0,1.0,1.0,1.0,1.00604386,1.00604386,0.99801416,0.99801416,1.02010685,1.02399223,1.01612433,1.01612433,0.98838401,0.99851953,0.98644801,0.98644801,1.01534071,1.01641099,1.0117731,1.0117731,1.00166624,1.00589592,0.99846193,1.00076903
154,1.0,1.0,1.0,1.0,0.99300639,1.00604386,0.99015714,1.00241754,0.83030597,0.83992229,0.82768334,0.83652258,0.83270698,0.8377178,0.82917663,0.83304863,0.95005351,0.9546914,0.9429183,0.95433464,0.95360164,0.96077929,0.94424507,0.9510382
42,1.0,1.0,1.0,1.0,1.05543084,1.07727508,1.05430841,1.0771024,0.73831957,0.74579893,0.73511413,0.73734823,0.93372053,0.94955017,0.92460995,0.94522264,0.95754549,0.95932929,0.95397788,0.95611844,0.84837221,0.85670341,0.8428608,0.851192
402,1.0,1.0,1.0,1.0,0.93187705,0.94051114,0.93118632,0.93697116,0.98756678,0.99009228,0.97707625,0.97960175,1.04509737,1.05682724,1.03928937,1.04931101,1.17873707,1.18230467,1.17623974,1.17802355,1.02691618,1.02896693,1.02332735,1.02537811
275,1.0,1.0,1.0,1.0,0.80901399,0.81782076,0.79943015,0.80979106,0.72792618,0.73365712,0.71471588,0.71918407,0.68978476,0.70185628,0.68158524,0.68614053,0.722797,0.73421334,0.71744559,0.72672137,0.87759549,0.88528582,0.8641374,0.86887977
277,1.0,1.0,1.0,1.0,0.8343982,0.83621136,0.81687101,0.82041098,0.76619718,0.76930549,0.74919864,0.74919864,0.75492541,0.76175834,0.7293019,0.73362943,0.76953264,0.77202997,0.76097039,0.7681056,0.91130479,0.91963599,0.90220456,0.91527813
477,1.0,1.0,1.0,1.0,0.96330513,0.97107581,0.96175099,0.96209636,1.01505585,1.0213696,1.01107334,1.01806702,1.06775994,1.09030862,1.05910489,1.05933265,1.05494113,1.05565466,1.04923296,1.05351409,1.01358626,1.02550628,1.01320174,1.02102025
225,1.0,1.0,1.0,1.0,1.02141254,1.03099637,1.01666379,1.01873597,0.88839242,0.90004857,0.88518698,0.8976202,0.95752192,0.96196333,0.92677372,0.9281403,0.92472351,0.92900464,0.92151267,0.92579379,1.01268905,1.02704435,1.01204819,1.02614714
312,1.0,1.0,1.0,1.0,0.94810913,0.9560525,0.94474184,0.94551891,0.91471588,0.92054395,0.9054881,0.90645945,0.88053752,0.89169798,0.87586835,0.89055916,0.91651802,0.9275776,0.91651802,0.92044238,0.98654191,0.99295053,0.98154319,0.98872084
415,1.0,1.0,1.0,1.0,0.91521326,0.91953031,0.91089622,0.91348644,0.99077222,0.99456047,0.98601263,0.99164643,1.09326956,1.10101355,1.08381733,1.08586721,1.16268284,1.16767749,1.15947199,1.16446664,1.04037426,1.04063061,1.03460651,1.03819533
408,1.0,1.0,1.0,1.0,0.9442238,0.94707304,0.93558971,0.93912968,0.97445362,0.97727052,0.96862555,0.97435648,1.10306343,1.10739096,1.09714156,1.10363284,1.16732073,1.17124509,1.15447735,1.16196932,1.0314022,1.0314022,1.02204563,1.02550628
