Action_Cash,Action_BMW.DE,Action_MBG.DE,Action_FORD,Action_GM,Action_012330.KS,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_BMW.DE_close_L1,State_BMW.DE_high_L1,State_BMW.DE_low_L1,State_BMW.DE_open_L1,State_MBG.DE_close_L1,State_MBG.DE_high_L1,State_MBG.DE_low_L1,State_MBG.DE_open_L1,State_FORD_close_L1,State_FORD_high_L1,State_FORD_low_L1,State_FORD_open_L1,State_GM_close_L1,State_GM_high_L1,State_GM_low_L1,State_GM_open_L1,State_012330.KS_close_L1,State_012330.KS_high_L1,State_012330.KS_low_L1,State_012330.KS_open_L1
0.16658019,0.16659547,0.16672114,0.16676547,0.1666096,0.16672808,1.0,1.0,1.0,1.0,1.02561449,1.0402512,1.02404627,1.0402512,1.04652412,1.04826656,1.03589508,1.04826656,1.05105443,1.05663031,1.04408455,1.05663031,1.01742491,1.04025121,1.01515969,1.04025121,1.02369772,1.04007686,1.01585662,1.04007686
0.16658002,0.16659619,0.16672106,0.16676567,0.16660893,0.16672814,1.0,1.0,1.0,1.0,1.04652412,1.04826656,1.03589508,1.04826656,1.05105443,1.05663031,1.04408455,1.05663031,1.01742491,1.04025121,1.01515969,1.04025121,1.02369772,1.04007686,1.01585662,1.04007686,1.02073558,1.02369774,1.01080347,1.02369774
0.1665803,0.16659597,0.16672136,0.1667648,0.16660903,0.16672851,1.0,1.0,1.0,1.0,1.05105443,1.05663031,1.04408455,1.05663031,1.01742491,1.04025121,1.01515969,1.04025121,1.02369772,1.04007686,1.01585662,1.04007686,1.02073558,1.02369774,1.01080347,1.02369774,1.01481115,1.02805385,1.00139417,1.02805385
0.16658045,0.16659623,0.16672087,0.16676474,0.16660924,0.16672842,1.0,1.0,1.0,1.0,1.01742491,1.04025121,1.01515969,1.04025121,1.02369772,1.04007686,1.01585662,1.04007686,1.02073558,1.02369774,1.01080347,1.02369774,1.01481115,1.02805385,1.00139417,1.02805385,1.01672785,1.02700839,1.01620513,1.02700839
0.16658047,0.16659622,0.16672088,0.16676448,0.16660942,0.16672853,1.0,1.0,1.0,1.0,1.02369772,1.04007686,1.01585662,1.04007686,1.02073558,1.02369774,1.01080347,1.02369774,1.01481115,1.02805385,1.00139417,1.02805385,1.01672785,1.02700839,1.01620513,1.02700839,1.00156824,1.01184878,0.98658304,1.01184878
0.16658051,0.16659603,0.1667209,0.16676424,0.1666095,0.1667288,1.0,1.0,1.0,1.0,1.02073558,1.02369774,1.01080347,1.02369774,1.01481115,1.02805385,1.00139417,1.02805385,1.01672785,1.02700839,1.01620513,1.02700839,1.00156824,1.01184878,0.98658304,1.01184878,1.00592465,1.01306875,1.00121999,1.01306875
0.16658005,0.16659632,0.16672054,0.16676463,0.16660951,0.16672896,1.0,1.0,1.0,1.0,1.01481115,1.02805385,1.00139417,1.02805385,1.01672785,1.02700839,1.01620513,1.02700839,1.00156824,1.01184878,0.98658304,1.01184878,1.00592465,1.01306875,1.00121999,1.01306875,0.96288569,0.97560574,0.95940081,0.97560574
0.16658035,0.16659617,0.16672105,0.16676372,0.16660921,0.16672952,1.0,1.0,1.0,1.0,1.01672785,1.02700839,1.01620513,1.02700839,1.00156824,1.01184878,0.98658304,1.01184878,1.00592465,1.01306875,1.00121999,1.01306875,0.96288569,0.97560574,0.95940081,0.97560574,0.99477278,0.99529549,0.96671909,0.99529549
0.16658108,0.16659695,0.16672054,0.16676347,0.16660912,0.1667289,1.0,1.0,1.0,1.0,1.00156824,1.01184878,0.98658304,1.01184878,1.00592465,1.01306875,1.00121999,1.01306875,0.96288569,0.97560574,0.95940081,0.97560574,0.99477278,0.99529549,0.96671909,0.99529549,0.99651514,1.0022653,0.99059076,1.0022653
0.16658127,0.16659611,0.16672106,0.16676235,0.16660996,0.16672929,1.0,1.0,1.0,1.0,1.00592465,1.01306875,1.00121999,1.01306875,0.96288569,0.97560574,0.95940081,0.97560574,0.99477278,0.99529549,0.96671909,0.99529549,0.99651514,1.0022653,0.99059076,1.0022653,0.97229513,0.97647707,0.95940093,0.97647707
