Action_Cash,Action_XOM,Action_CVX,Action_OKE,Action_VLO,Action_SHEL,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_XOM_close_L1,State_XOM_high_L1,State_XOM_low_L1,State_XOM_open_L1,State_CVX_close_L1,State_CVX_high_L1,State_CVX_low_L1,State_CVX_open_L1,State_OKE_close_L1,State_OKE_high_L1,State_OKE_low_L1,State_OKE_open_L1,State_VLO_close_L1,State_VLO_high_L1,State_VLO_low_L1,State_VLO_open_L1,State_SHEL_close_L1,State_SHEL_high_L1,State_SHEL_low_L1,State_SHEL_open_L1
0.16667332,0.16660687,0.16693701,0.16668653,0.16661508,0.16648118,1.0,1.0,1.0,1.0,0.99304793,0.99414563,0.98335163,0.99414563,0.98463227,0.9899378,0.98005854,0.9899378,0.98298573,0.99012075,0.98005854,0.99012075,0.9791438,0.9899378,0.9787779,0.9899378,0.97548482,0.98280278,0.97164288,0.98280278
0.16667326,0.16660729,0.16693628,0.16668619,0.16661508,0.16648187,1.0,1.0,1.0,1.0,0.98463227,0.9899378,0.98005854,0.9899378,0.98298573,0.99012075,0.98005854,0.99012075,0.9791438,0.9899378,0.9787779,0.9899378,0.97548482,0.98280278,0.97164288,0.98280278,0.96158068,0.97347237,0.96048299,0.97347237
0.16667335,0.1666078,0.16693515,0.1666859,0.16661501,0.16648279,1.0,1.0,1.0,1.0,0.98298573,0.99012075,0.98005854,0.99012075,0.9791438,0.9899378,0.9787779,0.9899378,0.97548482,0.98280278,0.97164288,0.98280278,0.96158068,0.97347237,0.96048299,0.97347237,0.95590926,0.96322722,0.95316502,0.96322722
0.16667335,0.16660836,0.16693375,0.16668555,0.16661501,0.16648392,1.0,1.0,1.0,1.0,0.9791438,0.9899378,0.9787779,0.9899378,0.97548482,0.98280278,0.97164288,0.98280278,0.96158068,0.97347237,0.96048299,0.97347237,0.95590926,0.96322722,0.95316502,0.96322722,0.95005488,0.95225027,0.93980973,0.95225027
0.16667332,0.1666089,0.16693236,0.16668518,0.16661511,0.16648515,1.0,1.0,1.0,1.0,0.97548482,0.98280278,0.97164288,0.98280278,0.96158068,0.97347237,0.96048299,0.97347237,0.95590926,0.96322722,0.95316502,0.96322722,0.95005488,0.95225027,0.93980973,0.95225027,0.94365166,0.94877424,0.93962678,0.94877424
0.16667335,0.16660939,0.16693096,0.16668461,0.16661514,0.16648649,1.0,1.0,1.0,1.0,0.96158068,0.97347237,0.96048299,0.97347237,0.95590926,0.96322722,0.95316502,0.96322722,0.95005488,0.95225027,0.93980973,0.95225027,0.94365166,0.94877424,0.93962678,0.94877424,0.92114892,0.935236,0.92060007,0.935236
0.16667329,0.16661009,0.16692923,0.16668418,0.16661495,0.16648825,1.0,1.0,1.0,1.0,0.95590926,0.96322722,0.95316502,0.96322722,0.95005488,0.95225027,0.93980973,0.95225027,0.94365166,0.94877424,0.93962678,0.94877424,0.92114892,0.935236,0.92060007,0.935236,0.91986828,0.92773509,0.91950238,0.92773509
0.166673,0.16661055,0.16692807,0.166684,0.16661529,0.1664891,1.0,1.0,1.0,1.0,0.95005488,0.95225027,0.93980973,0.95225027,0.94365166,0.94877424,0.93962678,0.94877424,0.92114892,0.935236,0.92060007,0.935236,0.91986828,0.92773509,0.91950238,0.92773509,0.91218441,0.92663739,0.90907428,0.92663739
0.16667315,0.16661103,0.16692719,0.1666835,0.1666151,0.16649003,1.0,1.0,1.0,1.0,0.94365166,0.94877424,0.93962678,0.94877424,0.92114892,0.935236,0.92060007,0.935236,0.91986828,0.92773509,0.91950238,0.92773509,0.91218441,0.92663739,0.90907428,0.92663739,0.92188072,0.92316136,0.90248811,0.92316136
0.16667305,0.16661143,0.16692616,0.16668274,0.16661547,0.16649112,1.0,1.0,1.0,1.0,0.92114892,0.935236,0.92060007,0.935236,0.91986828,0.92773509,0.91950238,0.92773509,0.91218441,0.92663739,0.90907428,0.92663739,0.92188072,0.92316136,0.90248811,0.92316136,0.8838273,0.89919502,0.88016831,0.89919502
