,Wealth,Return,Weight,Price
0,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.996,NaN"
1,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.000,NaN"
2,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.996,NaN"
3,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.986,NaN"
4,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.012,NaN"
5,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.000,NaN"
6,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.008,NaN"
7,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.975,NaN"
8,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.998,NaN"
9,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.020,NaN"
10,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.017,NaN"
11,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.004,NaN"
12,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.004,NaN"
13,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.998,NaN"
14,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.992,NaN"
15,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.000,NaN"
16,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.986,NaN"
17,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.003,NaN"
18,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.986,NaN"
19,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.996,NaN"
20,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.995,NaN"
21,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.011,NaN"
22,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.967,NaN"
23,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.947,NaN"
24,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.997,NaN"
25,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.955,NaN"
26,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.988,NaN"
27,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.027,NaN"
28,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.989,NaN"
29,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.049,NaN"
30,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.909,NaN"
31,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.000,NaN"
32,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.912,NaN"
33,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.035,NaN"
34,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.901,NaN"
35,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.953,NaN"
36,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.028,NaN"
37,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.863,NaN"
38,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.021,NaN"
39,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.855,NaN"
40,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.055,NaN"
41,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.985,NaN"
42,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.908,NaN"
43,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.158,NaN"
44,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.109,NaN"
45,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.088,NaN"
46,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.928,NaN"
47,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.014,NaN"
48,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.958,NaN"
