Action_Cash,Action_AAPL,Action_V,Action_SNE,Action_ADBE,Action_BABA,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1,Wealth,Return,Price_Cash,Price_AAPL,Price_V,Price_SNE,Price_ADBE,Price_BABA
0.16665669,0.16662838,0.16677918,0.16664724,0.16660482,0.16668373,1.0,1.0,1.0,1.0,1.02292343,1.04686775,1.01076566,1.04686775,1.01902552,1.02542923,1.00696056,1.02542923,0.99136891,1.02143852,0.98988399,1.02143852,0.98366589,0.99842227,0.97633411,0.99842227,1.00900232,1.01039443,0.98839907,1.01039443,10022.5169495819,0.0022491636921449,1.000,1.026,1.000,1.000,1.000,1.000
0.1666571,0.16662917,0.16677833,0.1666477,0.16660433,0.1666834,1.0,1.0,1.0,1.0,1.01902552,1.02542923,1.00696056,1.02542923,0.99136891,1.02143852,0.98988399,1.02143852,0.98366589,0.99842227,0.97633411,0.99842227,1.00900232,1.01039443,0.98839907,1.01039443,1.01670534,1.03071926,1.00482599,1.03071926,10031.04579697826,0.0008506067493731,1.000,1.005,1.000,1.000,1.000,1.000
0.16665727,0.16662894,0.16677806,0.16664915,0.16660373,0.1666829,1.0,1.0,1.0,1.0,0.99136891,1.02143852,0.98988399,1.02143852,0.98366589,0.99842227,0.97633411,0.99842227,1.00900232,1.01039443,0.98839907,1.01039443,1.01670534,1.03071926,1.00482599,1.03071926,1.04315545,1.0438051,1.01828306,1.0438051,10032.80461459437,0.0001753220428318,1.000,1.001,1.000,1.000,1.000,1.000
0.16665687,0.16662836,0.16677839,0.16665027,0.16660377,0.16668235,1.0,1.0,1.0,1.0,0.98366589,0.99842227,0.97633411,0.99842227,1.00900232,1.01039443,0.98839907,1.01039443,1.01670534,1.03071926,1.00482599,1.03071926,1.04315545,1.0438051,1.01828306,1.0438051,1.04853828,1.05568445,1.03508121,1.05568445,9974.26849262,-0.0058515594647259,1.000,0.965,1.000,1.000,1.000,1.000
0.16665657,0.16662827,0.16677885,0.16665019,0.16660404,0.16668208,1.0,1.0,1.0,1.0,1.00900232,1.01039443,0.98839907,1.01039443,1.01670534,1.03071926,1.00482599,1.03071926,1.04315545,1.0438051,1.01828306,1.0438051,1.04853828,1.05568445,1.03508121,1.05568445,1.04965197,1.06134571,1.04686775,1.06134571,10068.10494699216,0.0093638750223309,1.000,1.057,1.000,1.000,1.000,1.000
0.16665657,0.16662754,0.16677919,0.16665016,0.16660464,0.1666818,1.0,1.0,1.0,1.0,1.01670534,1.03071926,1.00482599,1.03071926,1.04315545,1.0438051,1.01828306,1.0438051,1.04853828,1.05568445,1.03508121,1.05568445,1.04965197,1.06134571,1.04686775,1.06134571,1.01290023,1.04389791,1.01187935,1.04389791,10120.139397302495,0.0051549371654579,1.000,1.031,1.000,1.000,1.000,1.000
0.16665605,0.16662781,0.16678146,0.16664863,0.16660437,0.16668175,1.0,1.0,1.0,1.0,1.04315545,1.0438051,1.01828306,1.0438051,1.04853828,1.05568445,1.03508121,1.05568445,1.04965197,1.06134571,1.04686775,1.06134571,1.01290023,1.04389791,1.01187935,1.04389791,1.07016241,1.0962413,1.07016241,1.0962413,10095.354672047732,-0.0024520536167016,1.000,0.985,1.000,1.000,1.000,1.000
0.16665661,0.16662797,0.16678023,0.16664861,0.16660535,0.16668122,1.0,1.0,1.0,1.0,1.04853828,1.05568445,1.03508121,1.05568445,1.04965197,1.06134571,1.04686775,1.06134571,1.01290023,1.04389791,1.01187935,1.04389791,1.07016241,1.0962413,1.07016241,1.0962413,1.10348028,1.10617169,1.0724826,1.10617169,10116.410332152742,0.0020835060884105,1.000,1.013,1.000,1.000,1.000,1.000
0.1666572,0.16662815,0.16677813,0.16665046,0.16660471,0.16668135,1.0,1.0,1.0,1.0,1.04965197,1.06134571,1.04686775,1.06134571,1.01290023,1.04389791,1.01187935,1.04389791,1.07016241,1.0962413,1.07016241,1.0962413,1.10348028,1.10617169,1.0724826,1.10617169,1.08733179,1.1136891,1.08445476,1.1136891,10116.651575275151,2.384642754773868e-05,1.000,1.000,1.000,1.000,1.000,1.000
0.16665676,0.16662665,0.16677925,0.16665149,0.16660497,0.16668089,1.0,1.0,1.0,1.0,1.01290023,1.04389791,1.01187935,1.04389791,1.07016241,1.0962413,1.07016241,1.0962413,1.10348028,1.10617169,1.0724826,1.10617169,1.08733179,1.1136891,1.08445476,1.1136891,1.10097448,1.10598608,1.07730858,1.10598608,10129.580683622931,0.0012771867812195,1.000,1.008,1.000,1.000,1.000,1.000
0.1666561,0.16662651,0.1667813,0.16664945,0.16660611,0.16668053,1.0,1.0,1.0,1.0,1.07016241,1.0962413,1.07016241,1.0962413,1.10348028,1.10617169,1.0724826,1.10617169,1.08733179,1.1136891,1.08445476,1.1136891,1.10097448,1.10598608,1.07730858,1.10598608,1.10116009,1.10524362,1.09150812,1.10524362,10134.919443308816,0.0005269076242652,1.000,1.003,1.000,1.000,1.000,1.000
0.16665608,0.16662714,0.1667814,0.16664873,0.16660641,0.16668026,1.0,1.0,1.0,1.0,1.10348028,1.10617169,1.0724826,1.10617169,1.08733179,1.1136891,1.08445476,1.1136891,1.10097448,1.10598608,1.07730858,1.10598608,1.10116009,1.10524362,1.09150812,1.10524362,1.10960557,1.11842227,1.09800464,1.11842227,10120.68864855177,-0.0014051216861926,1.000,0.992,1.000,1.000,1.000,1.000
0.16665623,0.16662683,0.16678108,0.16664916,0.16660625,0.16668043,1.0,1.0,1.0,1.0,1.08733179,1.1136891,1.08445476,1.1136891,1.10097448,1.10598608,1.07730858,1.10598608,1.10116009,1.10524362,1.09150812,1.10524362,1.10960557,1.11842227,1.09800464,1.11842227,1.11313225,1.11582367,1.10672854,1.11582367,10131.86160271394,0.0011033628019245,1.000,1.007,1.000,1.000,1.000,1.000
0.16665623,0.16662678,0.1667808,0.1666494,0.16660641,0.16668037,1.0,1.0,1.0,1.0,1.10097448,1.10598608,1.07730858,1.10598608,1.10116009,1.10524362,1.09150812,1.10524362,1.10960557,1.11842227,1.09800464,1.11842227,1.11313225,1.11582367,1.10672854,1.11582367,1.1037587,1.11600928,1.09930394,1.11600928,10164.272728499114,0.0031938252681136,1.000,1.019,1.000,1.000,1.000,1.000
0.16665612,0.16662663,0.16678119,0.16664936,0.1666065,0.16668023,1.0,1.0,1.0,1.0,1.10116009,1.10524362,1.09150812,1.10524362,1.10960557,1.11842227,1.09800464,1.11842227,1.11313225,1.11582367,1.10672854,1.11582367,1.1037587,1.11600928,1.09930394,1.11600928,1.11109049,1.11220418,1.09911833,1.11220418,10203.903293061434,0.0038914249888108,1.000,1.023,1.000,1.000,1.000,1.000
0.16665609,0.16662674,0.1667817,0.16664882,0.16660672,0.16667996,1.0,1.0,1.0,1.0,1.10960557,1.11842227,1.09800464,1.11842227,1.11313225,1.11582367,1.10672854,1.11582367,1.1037587,1.11600928,1.09930394,1.11600928,1.11109049,1.11220418,1.09911833,1.11220418,1.13243619,1.13364269,1.11517401,1.13364269,10225.33363557892,0.0020980079141534,1.000,1.013,1.000,1.000,1.000,1.000
0.16665646,0.16662711,0.16678105,0.16664901,0.16660666,0.16667977,1.0,1.0,1.0,1.0,1.11313225,1.11582367,1.10672854,1.11582367,1.1037587,1.11600928,1.09930394,1.11600928,1.11109049,1.11220418,1.09911833,1.11220418,1.13243619,1.13364269,1.11517401,1.13364269,1.15897912,1.15935035,1.13689095,1.15935035,10233.643977750724,0.0008123908032867,1.000,1.005,1.000,1.000,1.000,1.000
0.1666568,0.16662678,0.16678049,0.16664976,0.16660652,0.1666797,1.0,1.0,1.0,1.0,1.1037587,1.11600928,1.09930394,1.11600928,1.11109049,1.11220418,1.09911833,1.11220418,1.13243619,1.13364269,1.11517401,1.13364269,1.15897912,1.15935035,1.13689095,1.15935035,1.17364269,1.18310905,1.16538283,1.18310905,10243.691796951118,0.0009813600868137,1.000,1.006,1.000,1.000,1.000,1.000
0.16665672,0.1666263,0.16678034,0.16665035,0.16660696,0.16667934,1.0,1.0,1.0,1.0,1.11109049,1.11220418,1.09911833,1.11220418,1.13243619,1.13364269,1.11517401,1.13364269,1.15897912,1.15935035,1.13689095,1.15935035,1.17364269,1.18310905,1.16538283,1.18310905,1.17939675,1.1812529,1.16612529,1.1812529,10255.55585530625,0.0011575117176049,1.000,1.007,1.000,1.000,1.000,1.000
0.16665642,0.16662581,0.1667816,0.16664998,0.16660742,0.16667871,1.0,1.0,1.0,1.0,1.13243619,1.13364269,1.11517401,1.13364269,1.15897912,1.15935035,1.13689095,1.15935035,1.17364269,1.18310905,1.16538283,1.18310905,1.17939675,1.1812529,1.16612529,1.1812529,1.18635731,1.19610209,1.17791183,1.19610209,10251.94723222623,-0.0003519319833196,1.000,0.998,1.000,1.000,1.000,1.000
0.16665615,0.16662566,0.16678235,0.1666491,0.16660808,0.16667865,1.0,1.0,1.0,1.0,1.15897912,1.15935035,1.13689095,1.15935035,1.17364269,1.18310905,1.16538283,1.18310905,1.17939675,1.1812529,1.16612529,1.1812529,1.18635731,1.19610209,1.17791183,1.19610209,1.19461717,1.19517401,1.18283063,1.19517401,10265.904592993977,0.0013605091838604,1.000,1.008,1.000,1.000,1.000,1.000
0.16665605,0.1666256,0.16678262,0.16664872,0.16660821,0.16667879,1.0,1.0,1.0,1.0,1.17364269,1.18310905,1.16538283,1.18310905,1.17939675,1.1812529,1.16612529,1.1812529,1.18635731,1.19610209,1.17791183,1.19610209,1.19461717,1.19517401,1.18283063,1.19517401,1.19211137,1.1974942,1.19099768,1.1974942,10312.107789818314,0.0044905478338231,1.000,1.027,1.000,1.000,1.000,1.000
0.166656,0.16662554,0.16678289,0.16664873,0.16660823,0.16667861,1.0,1.0,1.0,1.0,1.17939675,1.1812529,1.16612529,1.1812529,1.18635731,1.19610209,1.17791183,1.19610209,1.19461717,1.19517401,1.18283063,1.19517401,1.19211137,1.1974942,1.19099768,1.1974942,1.20185615,1.20185615,1.18839907,1.20185615,10301.289522079363,-0.0010496347175089,1.000,0.994,1.000,1.000,1.000,1.000
0.16665587,0.16662517,0.1667841,0.16664863,0.16660741,0.16667883,1.0,1.0,1.0,1.0,1.18635731,1.19610209,1.17791183,1.19610209,1.19461717,1.19517401,1.18283063,1.19517401,1.19211137,1.1974942,1.19099768,1.1974942,1.20185615,1.20185615,1.18839907,1.20185615,1.23433875,1.23433875,1.20334107,1.23433875,10257.373121065895,-0.0042723078416956,1.000,0.974,1.000,1.000,1.000,1.000
0.16665618,0.1666253,0.16678402,0.16664854,0.16660774,0.16667826,1.0,1.0,1.0,1.0,1.19461717,1.19517401,1.18283063,1.19517401,1.19211137,1.1974942,1.19099768,1.1974942,1.20185615,1.20185615,1.18839907,1.20185615,1.23433875,1.23433875,1.20334107,1.23433875,1.22663573,1.23990719,1.21735499,1.23990719,10278.781742156538,0.0020849695562464,1.000,1.013,1.000,1.000,1.000,1.000
0.16665606,0.1666251,0.16678366,0.16664898,0.16660793,0.16667823,1.0,1.0,1.0,1.0,1.19211137,1.1974942,1.19099768,1.1974942,1.20185615,1.20185615,1.18839907,1.20185615,1.23433875,1.23433875,1.20334107,1.23433875,1.22663573,1.23990719,1.21735499,1.23990719,1.19526682,1.22134571,1.18932715,1.22134571,10253.127894915677,-0.002498925920114,1.000,0.985,1.000,1.000,1.000,1.000
0.16665553,0.16662431,0.16678506,0.1666482,0.16660836,0.16667856,1.0,1.0,1.0,1.0,1.20185615,1.20185615,1.18839907,1.20185615,1.23433875,1.23433875,1.20334107,1.23433875,1.22663573,1.23990719,1.21735499,1.23990719,1.19526682,1.22134571,1.18932715,1.22134571,1.21030162,1.21457077,1.1750348,1.21457077,10261.454256178877,0.0008117505547113,1.000,1.005,1.000,1.000,1.000,1.000
0.16665535,0.16662459,0.16678523,0.16664615,0.16660976,0.16667895,1.0,1.0,1.0,1.0,1.23433875,1.23433875,1.20334107,1.23433875,1.22663573,1.23990719,1.21735499,1.23990719,1.19526682,1.22134571,1.18932715,1.22134571,1.21030162,1.21457077,1.1750348,1.21457077,1.19220418,1.21178654,1.19016241,1.21178654,10265.014302938564,0.0003468737727711,1.000,1.002,1.000,1.000,1.000,1.000
0.1666554,0.16662532,0.16678448,0.16664666,0.16660927,0.16667883,1.0,1.0,1.0,1.0,1.22663573,1.23990719,1.21735499,1.23990719,1.19526682,1.22134571,1.18932715,1.22134571,1.21030162,1.21457077,1.1750348,1.21457077,1.19220418,1.21178654,1.19016241,1.21178654,1.19805104,1.20909513,1.19071926,1.20909513,10254.165447594649,-0.0010574356759595,1.000,0.994,1.000,1.000,1.000,1.000
0.16665575,0.16662505,0.166784,0.1666476,0.16660878,0.1666788,1.0,1.0,1.0,1.0,1.19526682,1.22134571,1.18932715,1.22134571,1.21030162,1.21457077,1.1750348,1.21457077,1.19220418,1.21178654,1.19016241,1.21178654,1.19805104,1.20909513,1.19071926,1.20909513,1.20055684,1.20204176,1.1887703,1.20204176,10225.830983673226,-0.0027670397399825,1.000,0.983,1.000,1.000,1.000,1.000
0.16665584,0.16662543,0.16678363,0.16664737,0.16660902,0.16667876,1.0,1.0,1.0,1.0,1.21030162,1.21457077,1.1750348,1.21457077,1.19220418,1.21178654,1.19016241,1.21178654,1.19805104,1.20909513,1.19071926,1.20909513,1.20055684,1.20204176,1.1887703,1.20204176,1.19294664,1.20241299,1.19090487,1.20241299,10228.334493684202,0.0002447921941619,1.000,1.002,1.000,1.000,1.000,1.000
