State,Action
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[9.89065293e-01 1.00630848e+00 9.87803596e-01 1.00630848e+00] [9.74871202e-01 1.00872674e+00 9.74871202e-01 1.00872674e+00] [9.58889707e-01 9.80759121e-01 9.54473767e-01 9.80759121e-01] [9.45747030e-01 9.62254232e-01 9.44064767e-01 9.62254232e-01] [9.48165282e-01 9.51109242e-01 9.39123121e-01 9.51109242e-01]] [[7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02]] [[3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01]] [[6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01]] [[2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03]]]],"tf.Tensor([[0.09112988 0.29579896 0.10994931 0.21583048 0.12013783 0.16715361]], shape=(1, 6), dtype=float32)"
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[9.74871202e-01 1.00872674e+00 9.74871202e-01 1.00872674e+00] [9.58889707e-01 9.80759121e-01 9.54473767e-01 9.80759121e-01] [9.45747030e-01 9.62254232e-01 9.44064767e-01 9.62254232e-01] [9.48165282e-01 9.51109242e-01 9.39123121e-01 9.51109242e-01] [9.18620545e-01 9.33445484e-01 9.14204605e-01 9.33445484e-01]] [[7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02]] [[3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01]] [[6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01]] [[2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03]]]],"tf.Tensor([[0.09112938 0.29580083 0.10994896 0.21582982 0.12013767 0.16715333]], shape=(1, 6), dtype=float32)"
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[9.58889707e-01 9.80759121e-01 9.54473767e-01 9.80759121e-01] [9.45747030e-01 9.62254232e-01 9.44064767e-01 9.62254232e-01] [9.48165282e-01 9.51109242e-01 9.39123121e-01 9.51109242e-01] [9.18620545e-01 9.33445484e-01 9.14204605e-01 9.33445484e-01] [9.21354221e-01 9.28083272e-01 9.14204605e-01 9.28083272e-01]] [[7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02]] [[3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01]] [[6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01]] [[2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03]]]],"tf.Tensor([[0.09112917 0.29580176 0.10994895 0.21582946 0.12013769 0.16715297]], shape=(1, 6), dtype=float32)"
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[9.45747030e-01 9.62254232e-01 9.44064767e-01 9.62254232e-01] [9.48165282e-01 9.51109242e-01 9.39123121e-01 9.51109242e-01] [9.18620545e-01 9.33445484e-01 9.14204605e-01 9.33445484e-01] [9.21354221e-01 9.28083272e-01 9.14204605e-01 9.28083272e-01] [9.13889181e-01 9.27136999e-01 9.12101777e-01 9.27136999e-01]] [[7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02]] [[3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01]] [[6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01]] [[2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03]]]],"tf.Tensor([[0.09112874 0.29580367 0.10994861 0.21582882 0.12013771 0.16715243]], shape=(1, 6), dtype=float32)"
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[9.48165282e-01 9.51109242e-01 9.39123121e-01 9.51109242e-01] [9.18620545e-01 9.33445484e-01 9.14204605e-01 9.33445484e-01] [9.21354221e-01 9.28083272e-01 9.14204605e-01 9.28083272e-01] [9.13889181e-01 9.27136999e-01 9.12101777e-01 9.27136999e-01] [9.23877615e-01 9.29660393e-01 9.20302807e-01 9.29660393e-01]] [[7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02]] [[3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01]] [[6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01]] [[2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03]]]],"tf.Tensor([[0.09112847 0.29580393 0.10994849 0.21582916 0.12013774 0.16715218]], shape=(1, 6), dtype=float32)"
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[9.18620545e-01 9.33445484e-01 9.14204605e-01 9.33445484e-01] [9.21354221e-01 9.28083272e-01 9.14204605e-01 9.28083272e-01] [9.13889181e-01 9.27136999e-01 9.12101777e-01 9.27136999e-01] [9.23877615e-01 9.29660393e-01 9.20302807e-01 9.29660393e-01] [9.26295868e-01 9.36389444e-01 9.21143939e-01 9.36389444e-01]] [[7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02]] [[3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01]] [[6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01]] [[2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03]]]],"tf.Tensor([[0.0911287 0.29580486 0.10994865 0.21582823 0.12013778 0.16715187]], shape=(1, 6), dtype=float32)"
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[9.21354221e-01 9.28083272e-01 9.14204605e-01 9.28083272e-01] [9.13889181e-01 9.27136999e-01 9.12101777e-01 9.27136999e-01] [9.23877615e-01 9.29660393e-01 9.20302807e-01 9.29660393e-01] [9.26295868e-01 9.36389444e-01 9.21143939e-01 9.36389444e-01] [9.26295868e-01 9.39753969e-01 9.16307433e-01 9.39753969e-01]] [[7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02]] [[3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01]] [[6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01]] [[2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03]]]],"tf.Tensor([[0.09112886 0.29580426 0.10994869 0.21582852 0.12013792 0.16715173]], shape=(1, 6), dtype=float32)"
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[9.13889181e-01 9.27136999e-01 9.12101777e-01 9.27136999e-01] [9.23877615e-01 9.29660393e-01 9.20302807e-01 9.29660393e-01] [9.26295868e-01 9.36389444e-01 9.21143939e-01 9.36389444e-01] [9.26295868e-01 9.39753969e-01 9.16307433e-01 9.39753969e-01] [9.27662706e-01 9.27662706e-01 9.15466302e-01 9.27662706e-01]] [[7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02]] [[3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01]] [[6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01]] [[2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03]]]],"tf.Tensor([[0.09112898 0.2958051 0.10994849 0.21582809 0.12013783 0.16715154]], shape=(1, 6), dtype=float32)"
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[9.23877615e-01 9.29660393e-01 9.20302807e-01 9.29660393e-01] [9.26295868e-01 9.36389444e-01 9.21143939e-01 9.36389444e-01] [9.26295868e-01 9.39753969e-01 9.16307433e-01 9.39753969e-01] [9.27662706e-01 9.27662706e-01 9.15466302e-01 9.27662706e-01] [9.38281989e-01 9.40805383e-01 9.26085585e-01 9.40805383e-01]] [[7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02]] [[3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01]] [[6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01]] [[2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03]]]],"tf.Tensor([[0.09112901 0.29580414 0.1099489 0.21582812 0.12013774 0.16715209]], shape=(1, 6), dtype=float32)"
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00] [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[9.26295868e-01 9.36389444e-01 9.21143939e-01 9.36389444e-01] [9.26295868e-01 9.39753969e-01 9.16307433e-01 9.39753969e-01] [9.27662706e-01 9.27662706e-01 9.15466302e-01 9.27662706e-01] [9.38281989e-01 9.40805383e-01 9.26085585e-01 9.40805383e-01] [9.39753969e-01 9.39753969e-01 9.25559878e-01 9.39753969e-01]] [[7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02] [7.57018189e-02 7.78046473e-02 7.46504048e-02 7.78046473e-02]] [[3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01] [3.75144569e-01 3.81137630e-01 3.68836085e-01 3.81137630e-01]] [[6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01] [6.17705814e-01 6.22121754e-01 6.07296814e-01 6.22121754e-01]] [[2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03] [2.43899054e+03 2.45965997e+03 2.41315382e+03 2.45965997e+03]]]],"tf.Tensor([[0.09112883 0.29580402 0.10994875 0.21582852 0.12013789 0.167152 ]], shape=(1, 6), dtype=float32)"
