State,Action
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662076 0.16673993 0.16661903 0.16669321 0.16664842 0.16667876]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662079 0.16674018 0.1666188 0.16669302 0.16664828 0.16667897]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662072 0.16674052 0.16661835 0.1666932 0.16664839 0.16667892]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662054 0.16674055 0.1666183 0.16669315 0.16664845 0.16667894]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.1666206 0.16674072 0.16661823 0.166693  0.16664839 0.16667908]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662063 0.16674061 0.1666183 0.166693  0.16664842 0.16667905]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662091 0.16673997 0.16661924 0.16669266 0.16664815 0.16667905]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662127 0.16673945 0.16661999 0.16669238 0.16664773 0.16667926]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662131 0.16673917 0.16662003 0.1666927 0.1666478 0.166679 ]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662145 0.16673854 0.1666208 0.16669264 0.16664782 0.16667879]]
