Action_Cash,Action_TSM,Action_MRVL,Action_NVDA,Action_RTX,Action_GM,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_TSM_close_L1,State_TSM_high_L1,State_TSM_low_L1,State_TSM_open_L1,State_MRVL_close_L1,State_MRVL_high_L1,State_MRVL_low_L1,State_MRVL_open_L1,State_NVDA_close_L1,State_NVDA_high_L1,State_NVDA_low_L1,State_NVDA_open_L1,State_RTX_close_L1,State_RTX_high_L1,State_RTX_low_L1,State_RTX_open_L1,State_GM_close_L1,State_GM_high_L1,State_GM_low_L1,State_GM_open_L1,Wealth,Return,Price_Cash,Price_TSM,Price_MRVL,Price_NVDA,Price_RTX,Price_GM
0.16630617,0.16687971,0.16726851,0.16689925,0.1668302,0.16581611,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9950.74589644174,-0.004937580166733,1.000,1.000,1.000,1.000,1.000,0.983
0.16630627,0.16687992,0.16726886,0.1668989,0.16683087,0.16581523,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9946.915918795989,-0.0003849676136437,1.000,1.000,1.000,1.000,1.000,0.998
0.16630675,0.16687962,0.16726819,0.16689883,0.16683072,0.16581593,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9945.49210675588,-0.0001431513008089,1.000,1.000,1.000,1.000,1.000,0.999
0.16630691,0.1668796,0.16726737,0.16689888,0.16683033,0.1658169,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9918.540326611212,-0.0027136279377294,1.000,1.000,1.000,1.000,1.000,0.984
0.16630675,0.16687964,0.16726747,0.16689894,0.16683029,0.16581696,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9875.343775400044,-0.0043646430951543,1.000,1.000,1.000,1.000,1.000,0.974
0.16630693,0.16687937,0.16726775,0.16689864,0.16683051,0.16581678,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9886.52750278581,0.0011318491475097,1.000,1.000,1.000,1.000,1.000,1.007
0.16630712,0.16687906,0.16726723,0.16689874,0.16683026,0.1658176,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9884.555848556483,-0.0001994482751221,1.000,1.000,1.000,1.000,1.000,0.999
0.1663065,0.16687903,0.16726762,0.16689922,0.16682997,0.16581759,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9871.381250737571,-0.0013337357479593,1.000,1.000,1.000,1.000,1.000,0.992
0.16630605,0.1668794,0.16726913,0.16689886,0.1668307,0.16581586,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9874.301391357769,0.0002957751012626,1.000,1.000,1.000,1.000,1.000,1.002
0.16630588,0.16687882,0.16726966,0.1668994,0.16683066,0.16581552,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9890.47752737966,0.0016368652237563,1.000,1.000,1.000,1.000,1.000,1.010
