,Action_Cash,Action_AAPL,Action_ADBE,Action_BABA,Action_SNE,Action_V
56,0.18597022,0.04035067,0.4287207,0.02891999,0.1736555,0.14238295
227,0.10213493,0.09149623,0.42829674,0.1773829,0.06349864,0.1371906
280,0.13373949,0.03524803,0.1063038,0.31538117,0.05421935,0.35510817
485,0.06770109,0.42302966,0.21787082,0.05208312,0.09723793,0.14207737
220,0.16478826,0.07052341,0.16947342,0.4564711,0.05247546,0.08626831
447,0.14126281,0.12319592,0.26883614,0.05384564,0.17278825,0.24007122
421,0.37419072,0.1093597,0.21449275,0.09136286,0.11243584,0.09815814
375,0.06821827,0.19222386,0.10666863,0.05025582,0.2969561,0.28567737
25,0.18688233,0.04987212,0.30378574,0.16614491,0.11295412,0.18036075
229,0.07071989,0.17029232,0.0942333,0.12885751,0.36575362,0.17014335
180,0.11020902,0.02259026,0.21063212,0.12009913,0.42779714,0.10867237
496,0.31386632,0.20087305,0.03906842,0.037396,0.03761867,0.37117758
154,0.46233693,0.12302421,0.04921307,0.05197925,0.07412016,0.2393264
42,0.16199858,0.07841591,0.17497323,0.22829485,0.11315744,0.24316001
402,0.03027173,0.07888744,0.46497798,0.11379424,0.2169973,0.09507135
275,0.21315975,0.21839386,0.16356453,0.21576793,0.12468619,0.06442768
277,0.22032753,0.11495645,0.06711146,0.38626838,0.03002079,0.18131536
477,0.05754993,0.14555421,0.30453652,0.18194714,0.0816413,0.2287709
225,0.17533442,0.5805654,0.06971467,0.11229878,0.01767478,0.04441201
312,0.15966816,0.06305507,0.10109425,0.10191818,0.127112,0.44715226
415,0.1242926,0.2520461,0.39856985,0.098276,0.10765212,0.01916333
408,0.12947962,0.03638808,0.13967991,0.05141176,0.30088857,0.342152
323,0.12398938,0.06428791,0.17609872,0.3651186,0.10776863,0.16273673
22,0.05520173,0.08680428,0.07350487,0.53196084,0.11743024,0.13509794
325,0.13044907,0.14861766,0.06513391,0.05326131,0.3943048,0.20823328
46,0.11434877,0.08973781,0.20708203,0.13413888,0.3315551,0.12313739
31,0.22089714,0.02986927,0.10118453,0.07298928,0.20667078,0.36838898
113,0.14382605,0.32333294,0.06481318,0.20740935,0.07535236,0.18526614
334,0.04375003,0.19610542,0.3416725,0.13078539,0.08362872,0.2040579
274,0.03803653,0.11718684,0.09022626,0.08536512,0.58213377,0.0870514
404,0.03684031,0.19832475,0.07827011,0.43987125,0.08817513,0.15851836
57,0.18064785,0.06223532,0.16612475,0.08739631,0.30885345,0.19474222
255,0.0457193,0.35431814,0.07494072,0.2925298,0.12080102,0.11169103
24,0.16142254,0.1390666,0.28214532,0.08569031,0.17192033,0.15975489
17,0.14681615,0.10124828,0.16735277,0.06617448,0.30504215,0.2133662
172,0.04778682,0.37633437,0.16674905,0.10727174,0.09605703,0.20580105
66,0.12170113,0.22794862,0.31281692,0.04567508,0.13322833,0.1586299
403,0.14126599,0.17351003,0.0830245,0.27799568,0.12237842,0.20182538
412,0.20016757,0.14794911,0.09670631,0.12540825,0.0763406,0.35342818
94,0.15357058,0.08116084,0.30633393,0.04539863,0.11728426,0.29625183
148,0.06541014,0.0803756,0.09499507,0.02713624,0.6655582,0.06652472
470,0.40121722,0.05060704,0.08613496,0.06959154,0.28195167,0.11049759
23,0.08618524,0.3026698,0.12096545,0.06146663,0.1554082,0.2733047
234,0.1507701,0.23221382,0.24014445,0.17913267,0.04542562,0.15231332
371,0.09208106,0.24967717,0.06627254,0.18006615,0.03926053,0.37264258
193,0.1925133,0.2995802,0.09880996,0.14660294,0.07698332,0.18551022
5,0.11143115,0.05124056,0.14161672,0.64030206,0.01553897,0.03987054
116,0.25329578,0.22463492,0.16092588,0.12473663,0.11348008,0.12292674
45,0.09812871,0.28389373,0.20329913,0.14858964,0.18421832,0.0818705
16,0.07806505,0.2928378,0.34008092,0.07137316,0.08486287,0.13278022
460,0.0994846,0.34178206,0.10043263,0.03510456,0.05381085,0.36938524
355,0.26751432,0.13110995,0.14033988,0.14325713,0.11971115,0.19806753
3,0.09506585,0.09153865,0.29541007,0.12725972,0.22843964,0.16228606
398,0.16171059,0.08132107,0.16719164,0.2810503,0.09706555,0.21166089
388,0.10337459,0.34597716,0.1234992,0.19855914,0.17202722,0.05656273
60,0.08547805,0.09731251,0.25341856,0.03924502,0.05577257,0.46877328
110,0.22997247,0.19013657,0.1489017,0.1007226,0.27379805,0.05646866
317,0.32556117,0.04242812,0.07490509,0.35325035,0.03572497,0.1681303
262,0.10630742,0.13522454,0.16920653,0.19363178,0.1974982,0.19813149
29,0.09829301,0.21130094,0.25394496,0.1273068,0.20496254,0.10419171
294,0.13621704,0.11523963,0.5668309,0.02743421,0.04264338,0.1116349
185,0.11710516,0.07235284,0.231134,0.07197147,0.1233587,0.38407785
26,0.10050496,0.06996437,0.3080478,0.16260245,0.13495414,0.2239262
7,0.10509893,0.12080181,0.10515981,0.23862,0.11745044,0.31286898
451,0.16376774,0.07228149,0.19420272,0.15065002,0.19289553,0.22620244
108,0.0784063,0.10590041,0.17175597,0.10452247,0.10731127,0.43210354
37,0.03302204,0.04430481,0.27735683,0.31391364,0.1511107,0.18029198
157,0.16075492,0.36226296,0.09451053,0.12334516,0.05787112,0.2012554
464,0.26463863,0.12008914,0.11935648,0.08926583,0.04025164,0.3663983
118,0.27025488,0.20487204,0.04561994,0.07744242,0.13381004,0.26800066
114,0.32731342,0.19615039,0.10605999,0.21435602,0.04258561,0.11353458
181,0.17811833,0.18504904,0.1731328,0.13393822,0.2125919,0.11716972
176,0.04699083,0.04408355,0.29006526,0.0299626,0.08233818,0.50655955
144,0.28217345,0.34812236,0.15466277,0.02455762,0.04769066,0.14279307
367,0.03150091,0.30027315,0.19490753,0.20777659,0.0489812,0.21656063
377,0.18010102,0.29209948,0.14157937,0.20166771,0.10891815,0.07563423
311,0.06104109,0.16459538,0.20985834,0.06719323,0.3514381,0.14587386
208,0.02527028,0.08710904,0.31610918,0.05866924,0.31535313,0.19748914
211,0.13134249,0.14342065,0.08196498,0.15193601,0.14444962,0.3468862
469,0.37671947,0.05119418,0.06461114,0.14366563,0.26549307,0.09831646
141,0.02867281,0.16023028,0.24714124,0.13166668,0.33451208,0.09777691
450,0.14234464,0.21317583,0.21375385,0.07945052,0.14800505,0.20327014
67,0.15117405,0.11636619,0.08279519,0.24791905,0.309235,0.0925105
204,0.06548756,0.07125809,0.21328928,0.07756419,0.11431971,0.45808116
168,0.3791934,0.06466583,0.06622553,0.20228602,0.12803893,0.15959027
373,0.08780625,0.2822293,0.16509874,0.04703048,0.05086764,0.36696762
346,0.2516845,0.09080601,0.15315925,0.23307444,0.17427024,0.09700559
340,0.13787465,0.20196947,0.32511446,0.18064436,0.07754605,0.076851
109,0.10787531,0.21300754,0.11788258,0.0653521,0.20109764,0.2947848
442,0.03837888,0.1870098,0.16812363,0.11017188,0.2848679,0.21144785
145,0.04273945,0.03788966,0.37681177,0.22022429,0.26505196,0.05728288
92,0.21238603,0.09077322,0.1372872,0.27652732,0.05198525,0.231041
152,0.15414684,0.17652915,0.21041706,0.14882003,0.04520678,0.26488012
356,0.08273635,0.22046685,0.2641289,0.04128164,0.0914109,0.29997534
392,0.0640671,0.48647678,0.13350731,0.1345476,0.05437291,0.12702832
83,0.09661361,0.23345968,0.12105858,0.0340574,0.3888674,0.12594333
434,0.06192482,0.07238487,0.47594616,0.24427815,0.06952155,0.07594448
165,0.13272883,0.26049754,0.24622075,0.0373225,0.12508407,0.19814622
291,0.07300781,0.10086996,0.2749049,0.20140277,0.08295611,0.26685843
199,0.20358288,0.01874657,0.08404133,0.26753917,0.17213362,0.25395635
222,0.0552955,0.04561944,0.5800248,0.06969238,0.11274619,0.13662173
74,0.18991253,0.18017384,0.13905032,0.16917427,0.20858307,0.11310601
307,0.18326396,0.08229358,0.19938469,0.2544526,0.11710594,0.16349928
210,0.30854326,0.2661992,0.11002781,0.12560593,0.04527904,0.14434479
