date,close,open,high,low,volume,percent,code
2015-01-02,54.69,55.48,55.5,54.56,17M,-0.8%,XOM
2015-01-03,55.11,54.69,55.5,54.62,20M,0.77%,XOM
2015-01-04,54.66,54.83,54.84,54.06,17M,-0.82%,XOM
2015-01-05,53.84,54.52,54.66,53.79,15M,-1.51%,XOM
2015-01-06,54.25,53.77,54.36,53.37,14M,0.77%,XOM
2015-01-07,53.77,54.38,54.41,53.75,11M,-0.89%,XOM
2015-01-08,54.28,53.82,54.34,53.75,99M,0.95%,XOM
2015-01-09,53.82,53.96,54.11,53.57,16M,-0.86%,XOM
2015-01-10,53.73,53.82,54.12,53.57,11M,-0.16%,XOM
2015-01-11,53.52,53.89,54.11,53.5,13M,-0.39%,XOM
2015-01-12,53.32,53.47,53.72,53.11,18M,-0.38%,XOM
2015-01-13,52.56,53.18,53.21,52.5,17M,-1.43%,XOM
2015-01-14,52.25,52.54,52.65,52.1,17M,-0.58%,XOM
2015-01-15,51.93,51.88,52.05,51.37,19M,-0.63%,XOM
2015-01-16,51.58,51.75,51.86,51.36,18M,-0.67%,XOM
2015-01-17,50.35,50.88,51.12,50.32,21M,-2.38%,XOM
2015-01-18,50.28,50.64,50.71,50.26,19M,-0.14%,XOM
2015-01-19,49.86,50.57,50.65,49.69,14M,-0.84%,XOM
2015-01-20,50.39,49.6,50.46,49.33,18M,1.06%,XOM
2015-01-21,48.31,49.15,49.15,48.11,34M,-4.12%,XOM
2015-01-22,47.23,47.73,47.77,46.95,27M,-2.24%,XOM
2015-01-23,46.64,47.79,48.15,46.58,31M,-1.25%,XOM
2015-01-24,48.78,47.24,48.94,47.13,32M,4.6%,XOM
2015-01-25,48.12,48.94,49.0,48.05,16M,-1.35%,XOM
2015-01-26,47.8,47.76,47.95,47.49,15M,-0.66%,XOM
2015-01-27,47.3,47.71,47.74,47.03,20M,-1.06%,XOM
2015-01-28,47.75,47.79,48.03,47.47,14M,0.95%,XOM
2015-01-29,48.33,48.39,48.54,47.77,17M,1.22%,XOM
2015-01-30,48.06,48.17,48.45,47.77,16M,-0.55%,XOM
2015-01-31,47.84,48.24,48.25,47.55,10M,-0.46%,XOM
2015-02-01,47.24,47.45,47.64,46.9,18M,-1.27%,XOM
2015-02-02,47.6,47.42,47.82,47.2,12M,0.77%,XOM
2015-02-03,47.22,47.51,47.76,47.11,14M,-0.8%,XOM
2015-02-04,46.64,46.94,46.94,46.38,20M,-1.22%,XOM
2015-02-05,44.46,45.45,45.6,44.46,32M,-4.68%,XOM
2015-02-06,42.76,44.77,44.77,42.57,36M,-3.83%,XOM
2015-02-07,41.82,43.03,43.24,41.75,29M,-2.2%,XOM
2015-02-08,39.3,40.79,41.37,39.28,48M,-6.02%,XOM
2015-02-09,40.58,38.47,40.58,37.87,62M,3.25%,XOM
2015-02-10,42.5,41.49,42.51,40.33,38M,4.74%,XOM
2015-02-11,40.47,42.56,42.72,40.22,50M,-4.79%,XOM
2015-02-12,41.35,41.2,41.4,40.33,24M,2.18%,XOM
2015-02-13,39.53,39.77,39.99,38.69,40M,-4.41%,XOM
2015-02-14,37.62,38.53,38.66,37.23,55M,-4.83%,XOM
2015-02-15,33.02,32.9,35.16,32.19,72M,-12.22%,XOM
2015-02-16,34.24,36.42,36.49,32.7,60M,3.7%,XOM
2015-02-17,33.12,33.44,34.3,32.93,51M,-3.29%,XOM
2015-02-18,29.33,31.48,32.07,29.19,65M,-11.43%,XOM
2015-02-19,30.07,31.56,31.66,27.61,79M,2.53%,XOM
2015-02-20,27.21,27.14,29.88,26.23,48M,-9.52%,XOM
2015-02-21,29.04,27.78,29.49,26.98,41M,6.73%,XOM
2015-02-22,26.13,27.25,28.96,24.64,54M,-10.02%,XOM
2015-02-23,27.16,26.61,27.53,25.52,49M,3.96%,XOM
2015-02-24,25.83,27.48,27.75,24.9,76M,-4.91%,XOM
2015-02-25,24.81,25.66,25.8,23.75,56M,-3.94%,XOM
2015-02-26,27.96,27.15,28.53,26.29,61M,12.69%,XOM
2015-02-27,29.42,28.8,30.44,27.75,56M,5.22%,XOM
2015-02-28,30.62,29.58,31.21,28.97,46M,4.1%,XOM
2015-03-01,29.15,29.29,29.72,28.56,51M,-4.82%,XOM
2015-03-02,29.58,28.58,30.09,28.29,45M,1.49%,XOM
2015-03-03,29.95,30.24,31.12,29.48,41M,1.25%,XOM
2015-03-04,29.61,29.08,30.53,28.67,36M,-1.16%,XOM
2015-03-05,31.87,30.56,33.1,29.9,62M,7.65%,XOM
2015-03-06,30.93,32.7,33.27,30.39,48M,-2.95%,XOM
2015-03-07,31.92,31.46,32.21,30.95,41M,3.21%,XOM
2015-03-08,32.53,33.84,34.17,32.47,48M,1.9%,XOM
2015-03-09,34.59,33.09,34.74,32.71,33M,6.33%,XOM
2015-03-10,34.02,35.86,36.85,32.93,60M,-1.64%,XOM
2015-03-11,33.73,35.06,35.25,33.11,29M,-0.86%,XOM
2015-03-12,33.47,33.92,34.51,33.06,30M,-0.77%,XOM
2015-03-13,31.93,32.34,32.39,31.06,33M,-4.6%,XOM
2015-03-14,30.88,31.93,31.93,30.71,30M,-3.29%,XOM
2015-03-15,34.09,31.46,34.17,31.45,40M,10.4%,XOM
2015-03-16,32.48,32.15,33.72,31.98,39M,-4.72%,XOM
2015-03-17,32.31,31.87,33.23,31.26,44M,-0.53%,XOM
2015-03-18,33.23,33.61,33.87,33.02,27M,2.86%,XOM
2015-03-19,34.28,34.02,35.23,33.77,35M,3.13%,XOM
2015-03-20,34.5,35.02,35.41,34.02,28M,0.64%,XOM
2015-03-21,34.66,34.39,34.96,33.31,28M,0.48%,XOM
2015-03-22,35.47,35.0,35.81,34.8,26M,2.34%,XOM
2015-03-23,37.44,36.49,37.55,36.41,29M,5.54%,XOM
2015-03-24,36.66,37.61,37.61,36.11,37M,-2.09%,XOM
2015-03-25,34.03,36.0,36.59,33.92,35M,-7.17%,XOM
2015-03-26,35.4,33.53,35.45,33.31,27M,4.03%,XOM
