Action1,Action2,Action3,Action4,Action5,Action6,State1.1,State1.2,State1.3,State2.1,State2.2,State2.3,State3.1,State3.2,State3.3,State4.1,State4.2,State4.3,State5.1,State5.2,State5.3,State6.1,State6.2,State6.3
0.16156216,0.1718296,0.277353,0.15543011,0.10646321,0.1273619,1.0,1.0,1.0,0.94327405,0.95164911,0.94802279,0.69082079,0.68567266,0.67984458,1.15727138,1.14759139,1.1340394,0.76204067,0.75561898,0.73849447,0.83311971,0.83555499,0.8188925
0.06870089,0.10743111,0.60890466,0.1358273,0.02387627,0.0552597,1.0,1.0,1.0,0.95164911,0.94802279,0.92229321,0.68567266,0.67984458,0.68275862,1.14759139,1.1340394,1.09679991,0.75561898,0.73849447,0.74669996,0.83555499,0.81889259,0.811074
0.30272743,0.22010283,0.11606488,0.14536794,0.03913353,0.1766034,1.0,1.0,1.0,0.94802279,0.92229321,0.91512692,0.67984458,0.68275862,0.69674599,1.1340394,1.09679991,1.10340508,0.73849447,0.74669996,0.73742419,0.81889259,0.81107408,0.81697
0.3973439,0.06948966,0.15375659,0.04240716,0.11848463,0.2185181,1.0,1.0,1.0,0.92229321,0.91512692,0.93869798,0.68275862,0.69674599,0.69441476,1.09679991,1.10340508,1.13927799,0.74669996,0.73742419,0.7427756,0.81107408,0.81697001,0.8229941
0.14738251,0.21148583,0.06130568,0.09160802,0.29695398,0.1912638,1.0,1.0,1.0,0.91512692,0.93869798,0.94586427,0.69674599,0.69441476,0.69490044,1.10340508,1.13927799,1.17628972,0.73742419,0.7427756,0.7816625,0.81697001,0.8229941,0.824404
0.08851109,0.10560787,0.2852578,0.22459725,0.1924529,0.103573,1.0,1.0,1.0,0.93869798,0.94586427,0.97047142,0.69441476,0.69490044,0.71374454,1.13927799,1.17628972,1.18437536,0.7427756,0.7816625,0.79093828,0.8229941,0.824404,0.8254293
0.0163023,0.37578496,0.12076498,0.2291797,0.19453791,0.0634302,1.0,1.0,1.0,0.94586427,0.97047142,0.97547919,0.69490044,0.71374454,0.71937834,1.17628972,1.18437536,1.17423984,0.7816625,0.79093828,0.80627899,0.824404,0.82542938,0.8276083
0.06270844,0.44087026,0.14728945,0.20542176,0.02096133,0.1227487,1.0,1.0,1.0,0.97047142,0.97547919,0.97651528,0.71374454,0.71937834,0.70655658,1.18437536,1.17423984,1.18426147,0.79093828,0.80627899,0.83374955,0.82542938,0.82760831,0.8219687
0.08602189,0.02035852,0.49991733,0.13285841,0.13919176,0.1216521,1.0,1.0,1.0,0.97547919,0.97651528,0.9423243,0.71937834,0.70655658,0.69412336,1.17423984,1.18426147,1.17230384,0.80627899,0.83374955,0.82268998,0.82760831,0.82196873,0.8042809
0.04970917,0.14635865,0.6490913,0.02513731,0.03817589,0.0915276,1.0,1.0,1.0,0.97651528,0.9423243,0.99559662,0.70655658,0.69412336,0.68237008,1.18426147,1.17230384,1.12117071,0.83374955,0.82268998,0.8369604,0.82196873,0.80428095,0.7894129
