State,Action
[[[[1.0 1.0 1.0 1.0 ]] [[0.96606804 0.9683129 0.9385253 0.94310136]] [[0.708305 0.70966489 0.69266634 0.69354055]] [[1.19610523 1.19963558 1.1693429 1.17241772]] [[0.76917588 0.77131645 0.76596504 0.7681056 ]] [[0.84734683 0.84952576 0.84157908 0.84337349]]]],[[0.25030902 0.5672448 0.05410691 0.03054755 0.04646079 0.05133094]]
[[[[1.0 1.0 1.0 1.0 ]] [[0.96710413 0.9778104 0.95156277 0.97280262]] [[0.69781447 0.71034483 0.69577465 0.7080136 ]] [[1.1732149 1.19918005 1.17173443 1.19849675]] [[0.76132715 0.77738138 0.76061363 0.77702462]] [[0.83478595 0.84747501 0.83235068 0.84465522]]]],[[0.07127292 0.03257969 0.45481876 0.16591062 0.10987284 0.16554515]]
[[[[1.0 1.0 1.0 1.0 ]] [[0.94327405 0.97245726 0.93938871 0.97219824]] [[0.69082079 0.70189412 0.68722681 0.70063137]] [[1.15727138 1.17708689 1.15260221 1.17526478]] [[0.76204067 0.76418123 0.75740278 0.76275419]] [[0.83311971 0.83952833 0.83029992 0.83645219]]]],[[0.1278808 0.26960662 0.0436136 0.21800773 0.12486359 0.2160277 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[0.95164911 0.97392506 0.94033846 0.96209636]] [[0.68567266 0.70869354 0.67945605 0.69888295]] [[1.14759139 1.1712789 1.13893634 1.16831796]] [[0.75561898 0.76667856 0.74848377 0.76346771]] [[0.83555499 0.85170469 0.83029992 0.83952833]]]],[[0.4222946 0.20674424 0.06997138 0.09220499 0.0707904 0.1379944 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[0.94802279 0.95398031 0.93679848 0.94146089]] [[0.67984458 0.6838271 0.670034 0.6787761 ]] [[1.1340394 1.14087234 1.1167293 1.13062294]] [[0.73849447 0.74170532 0.73207278 0.74063503]] [[0.81889259 0.82863368 0.81427839 0.82235324]]]],[[0.14464499 0.06648933 0.4907311 0.20334779 0.06961121 0.02517563]]
[[[[1.0 1.0 1.0 1.0 ]] [[0.92229321 0.95026766 0.92091176 0.94974961]] [[0.68275862 0.69694026 0.68149587 0.69655172]] [[1.09679991 1.14041681 1.09349732 1.13506434]] [[0.74669996 0.75847306 0.74562968 0.75775954]] [[0.81107408 0.82504486 0.80863881 0.82260959]]]],[[0.17701884 0.23533458 0.07136224 0.15858717 0.2648975 0.09279969]]
[[[[1.0 1.0 1.0 1.0 ]] [[0.91512692 0.92885512 0.90830599 0.92410637]] [[0.69674599 0.69791161 0.68023312 0.68023312]] [[1.10340508 1.11376836 1.08780321 1.0942945 ]] [[0.73742419 0.73813771 0.72565109 0.72779165]] [[0.81697001 0.81735452 0.80594719 0.80722892]]]],[[0.21573178 0.17634171 0.07713129 0.10057254 0.19956547 0.23065726]]
[[[[1.0 1.0 1.0 1.0 ]] [[0.93869798 0.93999309 0.91953031 0.93109998]] [[0.69441476 0.69927149 0.68557552 0.6973288 ]] [[1.13927799 1.14121398 1.11137684 1.11946248]] [[0.7427756 0.7463432 0.73706743 0.74598644]] [[0.8229941 0.83209433 0.81466291 0.82107152]]]],[[0.04991848 0.12804691 0.11328234 0.1558372 0.42345348 0.12946166]]
[[[[1.0 1.0 1.0 1.0 ]] [[0.94586427 0.95890174 0.93481264 0.94068382]] [[0.69490044 0.69830015 0.6835357 0.69120932]] [[1.17628972 1.182781 1.14246669 1.14736363]] [[0.7816625 0.78879772 0.77702462 0.7798787 ]] [[0.824404 0.83196616 0.81543194 0.82081518]]]],[[0.086395  0.11748192 0.5973276 0.02272747 0.1055705 0.07049752]]
[[[[1.0 1.0 1.0 1.0 ]] [[0.97047142 0.97107581 0.94733207 0.95199447]] [[0.71374454 0.71539582 0.68868383 0.69839728]] [[1.18437536 1.19485252 1.17412595 1.19120829]] [[0.79093828 0.79307884 0.78380307 0.78451659]] [[0.82542938 0.82991541 0.81184312 0.81850807]]]],[[0.09135033 0.09334686 0.07046372 0.20078418 0.22785516 0.31619975]]
