,Wealth,Return,Weight,Price
0,9908.603024573182,-0.00918172082765447,"0.40,0.15,0.21,0.13,0.06,0.05","1.000,0.975,0.990,0.986,1.001,0.998"
1,9874.987666748799,-0.003398310316816121,"0.18,0.20,0.16,0.16,0.24,0.06","1.000,1.009,0.993,0.992,0.992,1.003"
2,9697.979245961447,-0.01808752320155174,"0.11,0.11,0.05,0.02,0.13,0.58","1.000,0.996,0.992,0.988,0.977,0.980"
3,9633.358697192252,-0.006685599274681437,"0.10,0.09,0.30,0.13,0.23,0.16","1.000,0.973,1.004,0.967,1.011,0.990"
4,9627.827280835296,-0.0005743588702511223,"0.29,0.24,0.06,0.13,0.06,0.22","1.000,0.992,1.020,1.006,0.988,1.007"
5,9816.098487805171,0.01936616025017019,"0.11,0.05,0.14,0.64,0.02,0.04","1.000,1.026,0.997,1.033,1.007,1.007"
6,10036.836138603023,0.022238198210655806,"0.11,0.18,0.07,0.37,0.20,0.07","1.000,1.008,1.001,1.032,1.052,1.002"
7,10117.870341342174,0.00804126217084043,"0.11,0.12,0.11,0.24,0.12,0.31","1.000,1.026,1.027,1.007,1.012,1.001"
8,10131.557733640504,0.0013518796019533048,"0.07,0.11,0.11,0.36,0.17,0.17","1.000,1.005,1.008,0.991,1.019,1.003"
9,10109.813519666575,-0.002148493011281521,"0.16,0.07,0.17,0.11,0.11,0.38","1.000,1.001,0.982,1.009,1.034,0.993"
10,9979.181178600003,-0.013005547000497381,"0.30,0.07,0.10,0.26,0.09,0.18","1.000,0.965,0.982,0.990,0.987,0.978"
11,10023.8811166628,0.004469316928474637,"0.11,0.09,0.20,0.02,0.45,0.12","1.000,1.057,0.983,0.956,1.017,0.982"
12,9589.472036840878,-0.04430452378337435,"0.15,0.06,0.11,0.52,0.06,0.10","1.000,1.031,1.020,0.912,1.005,1.007"
13,9546.052251937952,-0.004538141601543561,"0.07,0.11,0.25,0.27,0.05,0.24","1.000,0.985,0.979,0.992,0.988,1.028"
14,9606.288996284655,0.0062902954981413515,"0.15,0.08,0.23,0.18,0.15,0.21","1.000,1.013,1.014,1.012,1.002,1.002"
15,9697.389595358478,0.009438747644499618,"0.03,0.08,0.35,0.11,0.11,0.31","1.000,1.000,1.011,1.005,1.003,1.017"
16,9834.802297017066,0.014070614246865712,"0.08,0.29,0.34,0.07,0.08,0.13","1.000,1.008,1.005,0.993,1.109,1.020"
17,9975.242389956002,0.014178912567660398,"0.15,0.10,0.17,0.07,0.31,0.21","1.000,1.003,1.011,0.967,1.034,1.026"
18,9902.04834600629,-0.0073646228497180844,"0.51,0.12,0.05,0.03,0.05,0.24","1.000,0.992,0.992,0.985,0.991,0.984"
19,9716.855471151992,-0.018879584442981358,"0.14,0.07,0.20,0.01,0.48,0.10","1.000,1.007,0.997,1.004,0.967,0.993"
20,9748.880858877315,0.0032904397837552014,"0.22,0.05,0.38,0.12,0.05,0.16","1.000,1.019,1.006,1.015,1.014,0.997"
21,9752.53056187714,0.0003743014250293096,"0.10,0.17,0.04,0.25,0.14,0.30","1.000,1.023,1.003,0.986,1.002,1.005"
22,9899.57741344423,0.014965274577067466,"0.06,0.09,0.07,0.53,0.12,0.14","1.000,1.013,1.022,1.013,1.039,1.018"
23,9934.241989058788,0.003495505349423674,"0.09,0.30,0.12,0.06,0.16,0.27","1.000,1.005,1.026,1.022,1.007,0.995"
24,9895.721029823879,-0.003885131571042873,"0.16,0.14,0.28,0.09,0.17,0.16","1.000,1.006,1.008,0.975,0.974,1.005"
25,9961.847786179616,0.00666013059324551,"0.19,0.05,0.30,0.17,0.11,0.18","1.000,1.007,1.008,0.999,1.053,0.994"
26,9929.58530232774,-0.0032438600073537364,"0.10,0.07,0.31,0.16,0.13,0.22","1.000,0.998,1.000,1.002,0.977,1.000"
27,9998.420542155634,0.006908419651779401,"0.07,0.23,0.26,0.09,0.09,0.27","1.000,1.008,1.011,0.997,0.996,1.014"
28,9978.612591294192,-0.001983072983909334,"0.32,0.14,0.09,0.18,0.15,0.13","1.000,1.027,0.994,0.986,0.992,1.000"
29,9982.645320176134,0.00040405559155585503,"0.10,0.21,0.25,0.13,0.20,0.10","1.000,0.994,0.995,0.991,1.026,0.998"
30,9979.353673430593,-0.00032979129759799596,"0.08,0.07,0.44,0.03,0.10,0.28","1.000,0.974,1.005,1.018,0.998,1.002"
31,10015.616821607504,0.003627230952386859,"0.22,0.03,0.10,0.07,0.21,0.37","1.000,1.013,1.011,0.990,1.016,1.003"
32,9966.297853029584,-0.0049363706662064995,"0.20,0.26,0.06,0.17,0.25,0.06","1.000,0.985,1.002,0.997,1.007,0.991"
33,10001.91361487777,0.003567249843459705,"0.21,0.10,0.07,0.13,0.22,0.27","1.000,1.005,1.009,0.987,0.993,1.026"
34,9855.115916255087,-0.014785733461962765,"0.07,0.11,0.15,0.28,0.30,0.08","1.000,1.002,0.990,0.971,0.990,0.989"
35,9973.615349392056,0.01195243833702925,"0.13,0.10,0.20,0.37,0.08,0.12","1.000,0.994,0.983,1.048,1.002,0.994"
36,9962.703050721848,-0.0010947156381614224,"0.08,0.24,0.16,0.16,0.12,0.24","1.000,0.983,1.013,1.007,1.006,1.001"
37,9789.123035955176,-0.017576550414009996,"0.03,0.04,0.28,0.31,0.15,0.18","1.000,1.002,0.986,0.980,0.980,0.982"
38,9786.796333185792,-0.0002377107032845753,"0.08,0.28,0.13,0.09,0.07,0.35","1.000,1.004,1.005,0.978,0.991,1.008"
39,9674.719477450388,-0.011517920377435964,"0.14,0.21,0.14,0.34,0.02,0.15","1.000,0.979,0.975,1.005,0.974,0.977"
40,9623.923419954566,-0.00526422247108248,"0.21,0.13,0.10,0.12,0.06,0.38","1.000,0.982,1.000,0.988,1.010,0.998"
41,9717.244600961934,0.009650079572140783,"0.19,0.10,0.31,0.12,0.18,0.11","1.000,1.018,1.018,0.999,1.011,1.018"
42,9641.406468917585,-0.00783510377228023,"0.16,0.08,0.17,0.23,0.11,0.24","1.000,0.993,1.003,0.999,0.979,0.983"
