Action1,Action2,Action3,Action4,Action5,Action6,State1.1.1,State1.2.1,State1.3.1,State2.1.1,State2.2.1,State2.3.1,State3.1.1,State3.2.1,State3.3.1,State4.1.1,State4.2.1,State4.3.1,State5.1.1,State5.2.1,State5.3.1,State6.1.1,State6.2.1,State6.3.1,Wealth,Return,Price1,Price2,Price3,Price4,Price5,Price6
0.13429646,0.09966198,0.38867992,0.0419889,0.18967877,0.14569397,1.0,1.0,1.0,0.94327405,0.95164911,0.94802279,0.69082079,0.68567266,0.67984458,1.15727138,1.14759139,1.1340393999999998,0.76204067,0.75561898,0.73849447,0.83311971,0.83555499,0.81889259,10039.79874674305,0.003971975923516245,1.000,0.992,1.020,1.006,0.988,1.007
0.35839888,0.36269048,0.02917102,0.09472983,0.11981673,0.03519301,1.0,1.0,1.0,0.95164911,0.94802279,0.92229321,0.68567266,0.67984458,0.68275862,1.14759139,1.1340393999999998,1.09679991,0.75561898,0.73849447,0.74669996,0.83555499,0.81889259,0.81107408,10153.47814018155,0.011259251780452154,1.000,1.026,0.997,1.033,1.007,1.007
0.23882249,0.11431636,0.19269992,0.160848,0.15564488,0.1376683,1.0,1.0,1.0,0.94802279,0.92229321,0.91512692,0.67984458,0.68275862,0.69674599,1.1340393999999998,1.09679991,1.10340508,0.73849447,0.74669996,0.73742419,0.81889259,0.81107408,0.81697001,10286.279450653175,0.012994594344500213,1.000,1.008,1.001,1.032,1.052,1.002
0.15761723,0.09611012,0.22308174,0.0925757,0.39335266,0.03726263,1.0,1.0,1.0,0.92229321,0.91512692,0.93869798,0.68275862,0.69674599,0.69441476,1.09679991,1.10340508,1.13927799,0.74669996,0.73742419,0.7427756,0.81107408,0.81697001,0.8229940999999998,10417.587749513936,0.012684592515956768,1.000,1.026,1.027,1.007,1.012,1.001
0.26108852,0.15515138,0.19053411,0.08757387,0.02562296,0.2800291,1.0,1.0,1.0,0.91512692,0.93869798,0.94586427,0.69674599,0.69441476,0.69490044,1.10340508,1.13927799,1.17628972,0.73742419,0.7427756,0.7816625,0.81697001,0.8229940999999998,0.8244040000000001,10428.456932070203,0.0010428053577796472,1.000,1.005,1.008,0.991,1.019,1.003
0.36277345,0.10407806,0.03952115,0.09886944,0.0999774,0.2947805,1.0,1.0,1.0,0.93869798,0.94586427,0.97047142,0.69441476,0.69490044,0.71374454,1.13927799,1.17628972,1.18437536,0.7427756,0.7816625,0.79093828,0.8229940999999998,0.8244040000000001,0.82542938,10437.749551282192,0.0008906860797851867,1.000,1.001,0.982,1.009,1.034,0.993
0.32507905,0.05654696,0.16457507,0.03342084,0.2303404,0.19003761,1.0,1.0,1.0,0.94586427,0.97047142,0.97547919,0.69490044,0.71374454,0.71937834,1.17628972,1.18437536,1.17423984,0.7816625,0.79093828,0.80627899,0.8244040000000001,0.82542938,0.82760831,10296.427511341535,-0.013632007483659607,1.000,0.965,0.982,0.990,0.987,0.978
0.06961861,0.10244839,0.24098212,0.16192076,0.30327168,0.12175841,1.0,1.0,1.0,0.97047142,0.97547919,0.97651528,0.71374454,0.71937834,0.70655658,1.18437536,1.17423984,1.18426147,0.79093828,0.80627899,0.83374955,0.82542938,0.82760831,0.82196873,10262.32189660404,-0.003317871661133418,1.000,1.057,0.983,0.956,1.017,0.982
0.08416808,0.04200076,0.23584925,0.0247579,0.44473029999999997,0.16849373,1.0,1.0,1.0,0.97547919,0.97651528,0.9423243,0.71937834,0.70655658,0.69412336,1.17423984,1.18426147,1.17230384,0.80627899,0.83374955,0.82268998,0.82760831,0.82196873,0.80428095,10324.211165606586,0.006012615651679686,1.000,1.031,1.020,0.912,1.005,1.007
0.47366503,0.01935682,0.33867702,0.08638195,0.04027676,0.04164244,1.0,1.0,1.0,0.97651528,0.9423243,0.99559662,0.70655658,0.69412336,0.68237008,1.18426147,1.17230384,1.12117071,0.83374955,0.82268998,0.8369603999999999,0.82196873,0.80428095,0.78941297,10228.9245486401,-0.009272288275796915,1.000,0.985,0.979,0.992,0.988,1.028
